metal and mineral products,2014,2015,2016,2017,2018,2019
Copper metal and concentrates (in million metric tons)*,2.8,3.1,3.5,4.0,4.5,4.1
Zinc metal and concentrates (in million metric tons)*,3.4,3.1,2.0,2.8,3.2,3.1
Lead metal and concentrates (in million metric tons)*,0.8,1.1,0.9,1.0,0.9,1.1
Gold (in million ounces),1.5,1.9,2.1,2.0,2,2.1
Silver (in million ounces),66.2,89.3,92.1,89.1,81.4,68.3
Nickel (in thousand metric tons),203,231,221.0,204.0,199,181
Ferroalloys incl. agency (in million metric tons),4.2,5,7.6,8.7,9,9.5
Cobalt (in thousand metric tons),-,-,39.0,42.0,-,-
Alumina/aluminium (in million metric tons),11.7,13.6,11.4,10.7,10.2,11
Iron ore (in million metric tons),66,41.2,47.1,47.7,79.6,65.5
