Month,Not seasonally adjusted,Seasonally adjusted
Jul 20,4.2%,4.5%
Jun 20,4.2%,4.3%
May 20,3.6%,3.6%
Apr 20,3.6%,3.4%
Mar 20,3.2%,2.9%
Feb 20,3.2%,2.9%
Jan 20,3.3%,3%
Dec 19,3%,3.2%
Nov 19,3.5%,3.5%
Oct 19,3.5%,3.5%
Sep 19,3.5%,3.5%
Aug 19,3.1%,3.5%
Jul 19,3.1%,3.4%
Jun 19,3.2%,3.4%
May 19,3.3%,3.3%
Apr 19,3.4%,3.3%
Mar 19,3.6%,3.3%
Feb 19,3.7%,3.4%
Jan 19,3.9%,3.6%
Dec 18,3.3%,3.6%
Nov 18,3.5%,3.5%
Oct 18,3.7%,3.7%
Sep 18,3.8%,3.7%
Aug 18,3.5%,3.9%
Jul 18,3.5%,3.8%
Jun 18,3.7%,3.9%
May 18,3.9%,3.9%
Apr 18,4.1%,3.9%
Mar 18,4.2%,3.9%
Feb 18,4.4%,4.1%
Jan 18,4.5%,4.2%
Dec 17,4.1%,4.4%
Nov 17,4.4%,4.4%
Oct 17,4.5%,4.5%
Sep 17,4.7%,4.7%
Aug 17,4.3%,4.7%
Jul 17,4.6%,4.8%
Jun 17,4.7%,4.9%
May 17,5.1%,5.1%
Apr 17,5.2%,5.1%
Mar 17,5.4%,5.1%
Feb 17,5.6%,5.3%
Jan 17,5.7%,5.3%
Dec 16,5.1%,5.4%
Nov 16,5.5%,5.6%
Oct 16,5.7%,5.6%
Sep 16,5.7%,5.7%
Aug 16,5.4%,5.8%
Jul 16,5.8%,6%
Jun 16,5.9%,6.1%
May 16,6.2%,6.3%
Apr 16,6.6%,6.4%
Mar 16,6.7%,6.4%
Feb 16,6.9%,6.5%
Jan 16,6.8%,6.5%
Dec 15,6.4%,6.6%
Nov 15,6.6%,6.7%
Oct 15,6.9%,6.9%
Sep 15,6.8%,6.8%
Aug 15,6.4%,6.8%
Jul 15,6.5%,6.8%
Jun 15,6.7%,6.9%
May 15,6.9%,6.9%
Apr 15,7.1%,7%
Mar 15,7.3%,7%
Feb 15,7.5%,7.1%
Jan 15,7.6%,7.2%
Dec 14,7%,7.2%
Nov 14,7.1%,7.1%
Oct 14,7.1%,7.1%
Sep 14,7.1%,7.1%
Aug 14,6.8%,7.2%
Jul 14,7%,7.3%
Jun 14,7.2%,7.4%
May 14,7.5%,7.6%
Apr 14,7.9%,7.7%
Mar 14,8.1%,7.8%
Feb 14,8.2%,7.9%
Jan 14,8.1%,7.8%
Dec 13,7.4%,7.7%
Nov 13,7.6%,7.6%
Oct 13,7.6%,7.6%
Sep 13,7.5%,7.6%
Aug 13,7.1%,7.5%
Jul 13,7.2%,7.5%
Jun 13,7.1%,7.3%
May 13,7.1%,7.1%
Apr 13,7.1%,7%
Mar 13,7.2%,6.9%
Feb 13,7.1%,6.8%
Jan 13,6.9%,6.6%
Dec 12,6.2%,6.4%
Nov 12,6.2%,6.2%
Oct 12,6.1%,6.1%
Sep 12,6%,6%
Aug 12,5.5%,5.8%
Jul 12,5.6%,5.9%
Jun 12,5.5%,5.7%
May 12,5.6%,5.7%
Apr 12,5.8%,5.7%
Mar 12,5.8%,5.5%
Feb 12,5.8%,5.5%
Jan 12,5.8%,5.5%
Dec 11,5.1%,5.4%
Nov 11,5.4%,5.4%
Oct 11,5.2%,5.2%
Sep 11,5.1%,5.1%
Aug 11,4.6%,4.9%
Jul 11,4.6%,4.9%
Jun 11,4.6%,4.7%
May 11,4.8%,4.8%
Apr 11,4.9%,4.7%
Mar 11,5.1%,4.8%
Feb 11,5.3%,4.9%
Jan 11,5.2%,4.9%
Dec 10,4.7%,5%
Nov 10,4.9%,4.9%
Oct 10,4.9%,4.9%
Sep 10,4.9%,5%
Aug 10,4.7%,5%
Jul 10,4.7%,5%
Jun 10,4.9%,5%
May 10,5%,5%
Apr 10,5.1%,5%
Mar 10,5.4%,5.1%
Feb 10,5.5%,5.1%
Jan 10,5.4%,5.1%
Dec 09,4.7%,5%
Nov 09,4.9%,4.9%
Oct 09,4.7%,4.7%
Sep 09,4.6%,4.7%
Aug 09,4.2%,4.6%
Jul 09,4.1%,4.5%
Jun 09,4.2%,4.3%
May 09,4.2%,4.2%
Apr 09,4.2%,4.1%
Mar 09,4.2%,3.9%
Feb 09,4.2%,3.8%
Jan 09,4%,3.7%
Dec 08,3.4%,3.7%
Nov 08,3.6%,3.6%
Oct 08,3.6%,3.6%
Sep 08,3.6%,3.6%
Aug 08,3.2%,3.6%
Jul 08,3.3%,3.6%
Jun 08,3.6%,3.7%
May 08,3.7%,3.7%
Apr 08,3.8%,3.7%
Mar 08,4%,3.6%
Feb 08,4.1%,3.6%
Jan 08,4.1%,3.8%
Dec 07,3.6%,3.9%
Nov 07,4%,4%
Oct 07,4%,4%
Sep 07,4%,4%
Aug 07,3.8%,4.1%
Jul 07,3.8%,4.2%
Jun 07,4%,4.1%
May 07,4.2%,4.2%
Apr 07,4.2%,4.2%
Mar 07,4.7%,4.3%
Feb 07,5%,4.5%
Jan 07,4.8%,4.5%
Dec 06,4.3%,4.6%
Nov 06,4.7%,4.7%
Oct 06,4.7%,4.7%
Sep 06,4.7%,4.8%
Aug 06,4.5%,4.8%
Jul 06,4.5%,4.9%
Jun 06,4.9%,5%
May 06,5.1%,5.2%
Apr 06,5.3%,5.2%
Mar 06,5.7%,5.3%
Feb 06,5.9%,5.5%
Jan 06,5.8%,5.5%
Dec 05,5.4%,5.7%
Nov 05,5.7%,5.7%
Oct 05,5.7%,5.8%
Sep 05,5.7%,5.8%
Aug 05,5.5%,5.8%
Jul 05,5.4%,5.9%
Jun 05,5.9%,5.9%
May 05,6%,6%
Apr 05,6.1%,6%
Mar 05,6.5%,6%
Feb 05,6.5%,6%
Jan 05,6.2%,5.9%
Dec 04,5.6%,5.9%
Nov 04,5.7%,5.7%
Oct 04,5.7%,5.7%
Sep 04,5.6%,5.7%
Aug 04,5.4%,5.6%
Jul 04,5.2%,5.7%
Jun 04,5.8%,5.8%
May 04,5.7%,5.8%
Apr 04,5.8%,5.7%
Mar 04,6%,5.5%
Feb 04,5.8%,5.4%
Jan 04,5.8%,5.4%
Dec 03,5%,5.4%
Nov 03,5.3%,5.2%
Oct 03,5.1%,5.2%
Sep 03,5%,5.1%
Aug 03,4.7%,5%
Jul 03,4.5%,4.9%
Jun 03,4.9%,4.8%
May 03,4.6%,4.7%
Apr 03,4.7%,4.6%
Mar 03,4.9%,4.5%
Feb 03,4.8%,4.3%
Jan 03,4.6%,4.3%
