Month,Google,bing,Yahoo!,Baidu,Yandex RU
Oct '20,88.14%,6.18%,2.51%,0.59%,0.26%
Jul '20,86.86%,6.43%,2.84%,0.68%,0.63%
Apr '20,86.02%,6.25%,3.36%,0.83%,0.8%
Jan '20,87.35%,5.53%,2.83%,0.7%,0.76%
Oct '19,87.96%,5.26%,2.73%,0.57%,0.81%
Jul '19,88.61%,4.98%,2.72%,0.74%,0.82%
Apr '19,88.47%,4.81%,3.13%,0.66%,0.92%
Jan '19,89.95%,3.99%,2.84%,0.56%,0.99%
Oct '18,90.28%,3.82%,2.76%,0.55%,1.01%
Jul '18,86.02%,6.55%,3.27%,1.08%,1.07%
Apr '18,86.28%,6.45%,3.41%,0.93%,1.21%
Jan '18,87.35%,5.79%,3.07%,0.74%,1.07%
Oct '17,87.16%,5.49%,3.72%,0.85%,0.77%
Jul '17,86.83%,5.13%,3.96%,0.84%,0.89%
Apr '17,88.56%,4.85%,3.29%,0.68%,0.75%
Jan '17,89.06%,4.59%,3.08%,0.54%,0.89%
Oct '16,90.37%,4%,2.95%,0.56%,0.54%
Jul '16,89.38%,4.2%,3.37%,0.71%,0.54%
Apr '16,89.44%,4.48%,3.1%,0.63%,0.52%
Jan '16,88.36%,4.85%,3.3%,0.73%,0.51%
Oct '15,89.16%,4.07%,3.22%,0.68%,0.53%
Jul '15,89.26%,3.37%,3.43%,0.79%,0.44%
Apr '15,88.44%,4.12%,3.67%,0.61%,0.43%
Jan '15,88.1%,4.53%,4.13%,0.61%,0.41%
Oct '14,88.73%,4.43%,3.82%,0.5%,0.41%
Jul '14,88.15%,4.61%,4.01%,0.55%,0.36%
Apr '14,88.21%,4.29%,3.34%,0.69%,0.37%
Jan '14,88.99%,4.04%,2.65%,0.92%,0.38%
Oct '13,87.72%,3.91%,3.26%,1%,0.39%
Jul '13,90%,3.86%,2.87%,1.08%,0.36%
Apr '13,90.17%,3.61%,3.08%,0.92%,0.38%
Jan '13,90.47%,3.19%,2.88%,0.63%,0.36%
Oct' 12,90.73%,3.36%,2.92%,0.54%,0.37%
Jul '12,91.17%,3.22%,2.95%,0.45%,0.34%
Apr '12,91.7%,3.5%,3.36%,0.26%,0.38%
Jan '12,91.53%,3.56%,3.33%,0.23%,0.35%
Oct '11,90.78%,3.54%,3.71%,0.28%,0.28%
Jul '11,91.01%,3.41%,3.55%,0.32%,0.26%
Apr '11,90.29%,3.99%,3.81%,0.54%,0.35%
Jan '11,90.11%,4.27%,3.96%,0.33%,0.31%
Oct '10,91.22%,3.47%,3.6%,0.28%,0.33%
Jul '10,90.59%,3.74%,3.89%,0.37%,0.25%
Apr '10,90.39%,3.57%,4.29%,0.42%,0.23%
Jan '10,90.77%,3.41%,4.12%,0.37%,0.25%
