Week starting on,Global,Spain,Hong Kong,Germany,Singapore,Italy,France,United Kingdom,Australia,Sweden,United Arab Emirates,South Korea,United States,India,China,Japan
"Jan 6, 2020",1.5%,-1.1%,-11.3%,-8.6%,-1.1%,0.8%,1.4%,-1.8%,-3.4%,-13.8%,-2.4%,1.8%,1.6%,2.9%,7.8%,2.6%
"Jan 13, 2020",1.3%,-4.6%,-10.8%,-8.8%,-0.1%,-5%,-1.5%,-4.1%,-3.4%,-8.5%,-1.4%,2.1%,1.3%,2.8%,8.8%,2.3%
"Jan 20, 2020",0.5%,-4.8%,-8%,-8.4%,1.2%,-4.2%,-1.9%,-4.2%,-3.2%,-7.8%,-1.8%,3.4%,1.5%,1.6%,1.6%,2.6%
"Jan 27, 2020",0.2%,-4.5%,-8.7%,-8.5%,-0.3%,-4.8%,-1.3%,-5.1%,-3.9%,-7%,-2.1%,1.4%,2.2%,1.2%,-0.5%,2.1%
"Feb 3, 2020",-3.6%,-3.8%,-20.6%,-7.9%,-8.2%,-4.3%,-0.3%,-4.3%,-3.6%,-5.7%,-1.9%,-3.4%,1.5%,1.9%,-22.7%,-0.8%
"Feb 10, 2020",-9.9%,-2.5%,-44.7%,-8%,-15.4%,-3.5%,0.6%,-4%,-5%,-5.4%,-3.3%,-9.3%,1.3%,6.2%,-63.3%,-3.2%
"Feb 17, 2020",-10.7%,0.6%,-57.7%,-6.6%,-18.5%,-2.8%,1.7%,-3%,-1.7%,-6.4%,-3.5%,-15.7%,1.5%,10.8%,-70.8%,-4.6%
"Feb 24, 2020",-10.1%,-1.6%,-63.3%,-5.1%,-22.4%,-6.2%,-0.5%,-1.9%,-2.5%,-4.9%,-3.3%,-17.9%,0.6%,6.7%,-62.3%,-5.6%
"Mar 2, 2020",-7.9%,-1.4%,-70.4%,-5%,-25.4%,-8.8%,-2%,-2.7%,-1.7%,-4.8%,-2.9%,-34.1%,-2.1%,9.9%,-41.6%,-7.6%
"Mar 9, 2020",-10.1%,-2.9%,-77.5%,-15.4%,-35.7%,-21.6%,-3.8%,-15.5%,-2.3%,-6.4%,-8.3%,-52.1%,-1.3%,10%,-42.9%,-15%
"Mar 16, 2020",-12.4%,-13.7%,-80.8%,-30.2%,-35.5%,-73.9%,-13.7%,-19.3%,-2.9%,-14.1%,-24.4%,-56.1%,-0.5%,8.3%,-38.7%,-19.2%
"Mar 23, 2020",-28.7%,-74.3%,-81.7%,-71.9%,-76.9%,-88%,-41.3%,-53.5%,-15.9%,-65.3%,-57.6%,-55.7%,-4.8%,1.8%,-37.5%,-24.3%
"Mar 30, 2020",-47.7%,-88.5%,-88.3%,-88.6%,-90.8%,-89.2%,-81.4%,-75.6%,-63.1%,-77.1%,-85.8%,-56.6%,-23%,-68%,-43.9%,-27.9%
"Apr 6, 2020",-59.2%,-92.6%,-92.3%,-92.6%,-89.9%,-89%,-87%,-90.7%,-78.1%,-84.2%,-84.4%,-59.3%,-45.2%,-71.1%,-46.2%,-32%
"Apr 13, 2020",-64.9%,-94.2%,-94.2%,-92.5%,-92.5%,-92.2%,-92.1%,-92%,-84.6%,-84.4%,-78.5%,-60.5%,-58%,-79.9%,-42.6%,-40.1%
"Apr 20, 2020",-67.2%,-95.1%,-94.5%,-93.7%,-97.1%,-81.2%,-91.7%,-93.2%,-83.7%,-90%,-79.7%,-58.8%,-60.8%,-88.5%,-42.4%,-44.4%
"Apr 27, 2020",-66.8%,-94.1%,-93.2%,-92.9%,-95.9%,-80.2%,-91.8%,-93.5%,-84.4%,-89.8%,-81.4%,-48.5%,-63.5%,-93.6%,-39.2%,-44.6%
"May 4, 2020",-69.9%,-92.3%,-93.6%,-90.5%,-97%,-78.1%,-91.9%,-92.5%,-83%,-88.5%,-78.1%,-49.5%,-74.5%,-90.9%,-32%,-47%
"May 11, 2020",-68.4%,-92.1%,-89.7%,-91.2%,-96.9%,-78.3%,-91.1%,-92.3%,-83.6%,-88.5%,-77.4%,-50.7%,-74.7%,-66.8%,-27.4%,-47.9%
"May 18, 2020",-67.6%,-94.4%,-89.3%,-91.4%,-95.7%,-84.2%,-91.9%,-93.9%,-84%,-89.4%,-78.8%,-49.1%,-73.5%,-24.6%,-28.8%,-44.9%
"May 25, 2020",-68.6%,-94.5%,-89.1%,-92.1%,-96.7%,-92.4%,-92.1%,-94.6%,-82.2%,-87.9%,-82%,-48.7%,-73.9%,-44.9%,-27%,-48.8%
"Jun 1, 2020",-65.1%,-93.1%,-89%,-91.4%,-96.1%,-91.3%,-91.5%,-93.6%,-82.6%,-86.2%,-81.9%,-46.1%,-71.8%,-66.3%,-19.8%,-47.8%
"Jun 8, 2020",-64.8%,-93.9%,-90.3%,-88.8%,-95.4%,-90.3%,-90%,-93.3%,-81.6%,-86.8%,-80.9%,-50.8%,-67.9%,-70.2%,-21.2%,-48.6%
"Jun 15, 2020",-62.6%,-89.8%,-90.6%,-84.9%,-95%,-86.4%,-85%,-87.5%,-79.3%,-83.2%,-79.6%,-50.5%,-66.6%,-68.1%,-17.9%,-42.6%
"Jun 22, 2020",-62.9%,-84.1%,-90.6%,-83.8%,-95%,-84.1%,-83.3%,-85.8%,-78.2%,-79.1%,-79.3%,-50.5%,-65.1%,-71.5%,-23.9%,-41%
