Response,Germany,United Kingdom,United States
5/31,24%,20%,24%
5/30,16%,24%,27%
5/29,11%,25%,18%
5/28,16%,14%,23%
5/27,15%,31%,27%
5/26,19%,23%,32%
5/25,15%,16%,23%
5/24,13%,27%,28%
5/23,16%,21%,27%
5/22,21%,18%,30%
5/21,17%,22%,28%
5/20,17%,23%,19%
5/19,19%,24%,35%
5/18,20%,19%,28%
5/17,19%,18%,28%
5/16,25%,26%,28%
5/15,16%,15%,25%
5/14,23%,25%,24%
5/13,20%,24%,26%
5/12,15%,23%,21%
5/11,20%,20%,24%
5/10,16%,23%,24%
5/09,19%,26%,21%
5/08,16%,22%,20%
5/07,20%,24%,29%
5/06,23%,22%,27%
5/05,17%,20%,28%
5/04,15%,17%,17%
5/03,14%,22%,22%
5/02,19%,29%,36%
5/01,24%,27%,32%
4/30,21%,23%,28%
4/29,20%,19%,25%
4/28,15%,12%,24%
4/27,19%,18%,29%
4/26,19%,23%,28%
4/25,18%,19%,25%
4/24,15%,21%,25%
4/23,13%,26%,25%
4/22,17%,29%,25%
4/21,16%,25%,38%
4/20,19%,28%,26%
4/19,24%,15%,27%
4/18,10%,22%,24%
4/17,30%,21%,32%
4/16,21%,20%,30%
4/15,15%,28%,22%
4/14,21%,18%,38%
4/13,13%,23%,26%
4/12,23%,30%,27%
4/11,23%,21%,28%
4/10,20%,23%,29%
4/09,14%,18%,23%
4/08,21%,21%,25%
4/07,17%,32%,28%
4/06,14%,23%,30%
4/05,21%,20%,30%
4/04,22%,23%,29%
4/03,23%,21%,27%
4/02,15%,20%,36%
4/01,18%,24%,30%
3/31,25%,24%,30%
3/30,17%,25%,24%
3/29,17%,15%,25%
3/28,20%,29%,30%
3/27,18%,25%,34%
3/26,21%,26%,24%
3/25,17%,24%,41%
3/24,24%,21%,34%
3/23,19%,29%,31%
