Country,1-year survival rate,3-year survival rate,5-year survival rate
EU-28,83.25%,57.96%,43.86%
Sweden,96.22%,76.37%,61.42%
Netherlands,94.53%,71.37%,53.32%
Belgium,91.6%,72.51%,59.85%
United Kingdom,91.16%,60.63%,42.53%
Malta,89.79%,69.16%,72.88%
Luxembourg,89.42%,67.55%,54.82%
Cyprus *,88.69%,64.17%,49.11%
Ireland **,86.69%,87.09%,80.48%
Finland,85.82%,60.34%,40%
Austria,85.41%,66.74%,51.29%
Romania,84.97%,58.35%,42.48%
Slovenia,84.96%,63.56%,48.36%
Turkey***,84.74%,56.94%,54.31%
Croatia,84.44%,66.94%,51.84%
Poland,84.03%,53.36%,41.12%
Czechia,84%,61.07%,45.29%
France,83.95%,59.67%,49.05%
Slovakia,83.93%,58.05%,47.36%
Switzerland,83.24%,58.61%,52.36%
Italy,81.86%,58.37%,41.14%
Norway,81.79%,55.67%,42.1%
Bulgaria,79.45%,56.35%,46.19%
Estonia,78.29%,58.6%,46.45%
Hungary,78.06%,53.23%,38.62%
Germany,77.33%,52.14%,38.97%
Spain,76.54%,53.68%,41.84%
Portugal,73.62%,44.36%,30.06%
Denmark,73.28%,49.36%,36.36%
Latvia,72.18%,55.98%,43.95%
Lithuania,64.12%,39.08%,29.49%
