Month and year,Imports,Exports
May20,973.63,1255.83
Apr20,1013.3,1356.55
Mar20,1146.07,1521.08
Feb20,1216.13,1595.6
Jan20,1227.92,1325.68
Dec19,1402.32,1577.7
Nov19,1272.92,1657.96
Oct19,1363.07,1394.86
Sep19,1266.89,1477.28
Aug19,1362.6,1692.01
Jul19,1352.11,1401.82
Jun19,1293.93,1479.98
May19,1250.24,1401.7
Apr19,1265.08,1493.52
Mar19,1193.82,1533.35
Feb19,1087.32,1362.86
Jan19,1148.98,1486.97
Dec18,1335.29,1351.57
Nov18,1244.24,1289.38
Oct18,1404.03,1367.75
Sep18,1256.76,1198.23
Aug18,1275.75,1054.19
Jul18,1426.74,1255.7
Jun18,1356.91,1242.26
May18,1202.54,1135.89
Apr18,1159.71,1369.23
Mar18,1156.39,1664.68
Feb18,1139.35,873.73
Jan18,1184.58,619.89
Dec17,1177.84,715.92
Nov17,1312.92,990.31
Oct17,1338.11,791.54
Sep17,1276.66,970.71
Aug17,1146.28,1040.49
Jul17,1065.86,969.14
Jun17,1207.46,1221.19
May17,1167.78,1404.82
Apr17,1107.21,1218.61
Mar17,1056.95,1149.71
Feb17,1018.54,819.03
Jan17,1035.44,1301.67
