state of India,Government Laboratories,Private Laboratories
Total,1196,1071
Uttar Pradesh,124,99
Maharashtra,94,113
Andhra Pradesh,78,43
Madhya Pradesh,77,25
West Bengal,74,47
Tamil Nadu,67,168
Karnataka,60,115
Uttarakhand,53,6
Bihar,48,15
Odisha,43,13
Kerala,42,93
Gujarat,42,46
Rajasthan,39,26
Punjab,37,19
Chhattisgarh,36,11
Jharkhand,33,10
Himachal Pradesh,30,2
Delhi,28,59
Jammu & Kashmir,25,3
Haryana,23,28
Telangana,21,68
Arunachal Pradesh,21,2
Assam,16,31
Meghalaya,15,4
Nagaland,14,0
Mizoram,11,0
Manipur,7,7
Chandigarh,7,1
Goa,7,2
Puducherry,6,8
Andaman & Nicobar islands,5,0
Tripura,4,0
Leh-Ladakh,4,0
Sikkim,2,1
Lakshadweep,2,0
Dadra & Nagar Haveli,1,0
Mobile testing labs,0,5
