Response,White,Black,Hispanic,Other
Country,54%,31%,38%,42%
Rap/Hip-Hop,49%,69%,39%,48%
Classic rock,44%,25%,29%,30%
Pop,43%,38%,38%,41%
R&B,32%,53%,24%,28%
Hard rock/Metal,28%,23%,23%,16%
Blues,26%,24%,18%,21%
Alternative/Indie,24%,18%,16%,17%
Jazz,22%,28%,20%,20%
Dance/Electronic,20%,22%,25%,21%
Contemporary Christian,19%,25%,13%,13%
New Age,18%,19%,11%,18%
Folk,18%,8%,8%,13%
Punk Rock,17%,22%,14%,13%
Gospel/Choir,17%,33%,9%,18%
Soul/Funk,15%,25%,12%,13%
Classical,13%,20%,10%,15%
Latin,11%,16%,22%,13%
Reggae,10%,20%,13%,10%
None of these,10%,6%,8%,13%
World of Music,7%,10%,5%,11%
