Response,Exclusively purchase online (100%),Almost all of my purchases (81-99%),Most of my purchases (61-80%),About half of my purchases (41-60%),Some of my purchases (21-40%),A few purchases (1-20%),Don't purchase category online,Don't purchase category at all
Consumer electronics,6%,6%,10%,10%,16%,27%,16%,10%
Household appliances,4%,4%,7%,11%,18%,20%,25%,12%
Clothing and footwear,4%,9%,14%,23%,23%,18%,7%,3%
"Books, music, movies and video games",6%,8%,13%,17%,21%,21%,7%,7%
Furniture/homeware,4%,4%,8%,12%,12%,19%,26%,14%
Sports/outdoor equipment,4%,6%,10%,11%,17%,18%,17%,17%
Jewellery/watches,4%,6%,9%,12%,15%,18%,22%,13%
DIY/home improvement,4%,7%,12%,11%,16%,17%,17%,16%
Grocery,5%,7%,9%,14%,15%,15%,23%,13%
Toys,5%,7%,12%,11%,16%,21%,13%,15%
Health and beauty,5%,7%,13%,18%,19%,17%,13%,7%
