insurance companies,Life insurance and capitalization,Health and accident,Total personal insurance
Crédit Agricole Assurances,21177,1917,23094
Caisse Nationale de Prévoyance,17799,1449,19248
Axa France Assurance,10836,3805,14641
BNP Paribas Cardiff,13822,356,14178
Crédit Mutuel,12593,1382,13975
Société Générale  Insurance,10419,251,10670
BPCE,10059,433,10492
Generali,7117,1750,8867
Allianz,4821,2421,7242
Groupama-Gan,2639,3074,5713
Aviva,4633,346,4979
Covéa (GMF-MAAF-MMA),3469,930,4579
AG2R La Mondiale,4393,132,4525
Swiss Life,3288,1181,4469
Macif,1917,311,2228
HSBC Assurances,2019,10,2029
MACSF,1386,254,1640
Other companies**,7139,3660,10799
