State,Hillary Clinton,Donald Trump
Alabama,34.7%,62.7%
Alaska,37.6%,52.8%
Arizona,45.5%,49%
Arkansas,33.7%,60.6%
California,62.3%,31.9%
Colorado,48.2%,43.3%
Connecticut,54.7%,41%
Delaware,53.4%,41.9%
District of Columbia,92.8%,4.2%
Florida,47.8%,49%
Georgia,45.9%,51%
Hawaii,62.2%,30%
Idaho,27.5%,59.3%
Illinois,56%,38.9%
Indiana,37.9%,57.2%
Iowa,42.2%,51.7%
Kansas,36.3%,57%
Kentucky,32.7%,62.5%
Louisiana,38.4%,58.1%
Maine,48%,45%
Maryland,61.3%,34.5%
Massachusetts,61%,33.3%
Michigan,47.4%,47.6%
Minnesota,46.9%,45.3%
Mississippi,40.1%,57.9%
Missouri,38.2%,56.9%
Montana,35.9%,56.5%
Nebraska,34.4%,59.9%
Nevada,47.9%,45.5%
New Hampshire,47.6%,47.2%
New Jersey,55.5%,41.4%
New Mexico,48.3%,40%
New York,59.5%,36.8%
North Carolina,46.8%,50.5%
North Dakota,27.7%,64.1%
Ohio,43.7%,51.8%
Oklahoma,28.9%,65.3%
Oregon,52%,40.6%
Pennsylvania,47.9%,48.6%
Rhode Island,55.5%,39.7%
South Carolina,40.7%,54.9%
South Dakota,31.7%,61.5%
Tennessee,34.9%,61.1%
Texas,43.5%,52.5%
Utah,27.5%,45.5%
Vermont,61.1%,32.6%
Virginia,50.2%,44.8%
Washington,54.3%,38.1%
West Virginia,26.5%,68.6%
Wisconsin,47%,47.8%
Wyoming,22.5%,70.1%
