Month,Movistar,Orange,Grupo MÁSMÓVIL,Vodafone,Euskatel
Mar 2020,5.91,3.88,1.59,3.17,0.62
Feb 2020,5.92,3.89,1.55,3.17,0.62
Jan 2020,5.93,3.91,1.51,3.18,0.62
Dec 2019,5.94,3.93,1.47,3.17,0.62
Nov 2019,5.95,3.95,1.43,3.18,0.62
Oct 2019,5.95,3.96,1.4,3.17,0.62
Sep 2019,6.0,3.96,1.32,3.16,0.62
Aug 2019,5.99,3.94,1.29,3.14,0.61
Jul 2019,5.99,3.93,1.26,3.15,0.64
Jun 2019,5.99,3.96,1.21,3.18,0.62
May 2019,5.99,3.97,1.18,3.19,0.62
Apr 2019,5.97,3.97,1.14,3.21,0.61
Mar 2019,5.99,3.98,1.1,3.22,0.61
Jan 2019,6.0,4.0,0.98,3.22,0.61
Dec 2018,6.03,3.99,0.95,3.22,0.61
Nov 2018,6.04,3.99,0.9,3.22,0.6
Oct 2018,6.04,3.97,0.85,3.22,0.6
Sep 2018,6.02,3.95,0.8,3.22,0.6
Aug 2018,5.99,3.95,0.78,3.24,0.6
Jul 2018,5.95,3.95,0.76,3.28,0.6
Jun 2018,5.95,3.97,0.72,3.29,0.61
May 2018,5.94,3.97,0.69,3.32,0.61
Apr 2018,5.93,3.97,0.65,3.33,0.6
Mar 2018,5.93,3.97,0.6,3.34,0.6
Feb 2018,5.93,3.98,0.55,3.33,0.6
Jan 2018,5.93,3.98,0.55,3.35,0.6
Dec 2017,5.91,3.97,0.47,3.36,0.6
Nov 2017,5.91,3.96,0.42,3.36,0.61
Oct 2017,5.89,3.97,0.37,3.33,0.61
Sep 2017,5.91,3.98,0.32,3.29,0.61
Aug 2017,5.89,3.97,0.3,3.25,0.6
Jul 2017,5.89,3.98,0.28,3.24,0.61
Jun 2017,5.9,3.98,0.25,3.25,0.5
May 2017,5.9,3.99,0.22,3.25,0.48
Apr 2017,5.9,3.98,0.2,3.24,0.5
Mar 2017,5.92,3.98,0.17,3.23,0.5
Feb 2017,5.94,3.96,0.15,3.21,0.49
Jan 2017,5.95,3.94,0.15,3.19,-
Dec 2016,5.87,3.94,0.12,3.16,-
Nov 2016,5.86,3.94,0.11,3.12,-
Oct 2016,5.86,3.91,0.1,3.1,-
Sep 2016,5.86,3.89,-,3.07,-
Aug 2016,5.86,3.85,-,3.02,-
Jul 2016,5.86,3.84,-,3.02,-
Jun 2016,5.86,3.83,-,3.02,-
May 2016,5.85,3.83,-,3.03,-
Apr 2016,5.84,3.82,-,3.02,-
Mar 2016,5.82,3.8,-,3.02,-
Feb 2016,5.8,3.79,-,3.0,-
Jan 2016,5.8,3.78,-,2.98,-
Dec 2015,5.81,3.75,-,2.96,-
Nov 2015,5.79,3.73,-,2.94,-
Oct 2015,5.78,3.71,-,2.92,-
Sep 2015,5.76,3.69,-,2.88,-
