Country,2009,2019
United States,7267,17045
Saudi Arabia,9709,11832
Russian Federation,10152,11540
Canada,3331,5651
Iraq,2446,4779
United Arab Emirates,2795,3998
China,3805,3836
Iran,4285,3535
Kuwait,2502,2996
Brazil,2019,2877
Nigeria,2211,2109
Kazakhstan,1609,1931
Mexico,2978,1918
Qatar,1415,1883
Norway,2343,1731
Algeria,1775,1486
Angola,1754,1417
Libya,1739,1227
United Kingdom,1474,1118
Oman,813,971
Venezuela,3038,918
Colombia,671,886
India,838,826
Indonesia,994,781
Azerbaijan,1027,779
Egypt,730,686
Malaysia,688,651
Argentina,730,620
Ecuador,488,531
Australia,507,490
Thailand,385,477
Republic of Congo,276,339
Turkmenistan,221,264
Vietnam,340,236
Gabon,241,218
Equatorial Guinea,332,180
Peru,155,142
Chad,118,127
Brunei,168,121
Denmark,265,103
Sudan,475,102
Yemen,308,98
Italy,95,89
Trinidad & Tobago,150,82
Romania,94,75
Uzbekistan,95,62
Tunisia,91,50
Syria,401,24
