Month,Hospital,Care Home,Home,Elsewhere*
Dec 4,5760,2469,3290,784
Nov 27,5357,2429,3457,829
Nov 20,5733,2472,3519,811
Nov 13,5583,2446,3446,779
Nov 6,5249,2333,3471,759
Oct 30,4732,2136,3226,793
Oct 23,4498,2166,3302,773
Oct 16,4346,2260,3154,774
Oct 9,4093,2011,3068,782
Oct 2,4148,1993,3038,766
Sep 25,3914,1931,2998,791
Sep18,3875,1919,2969,767
Sep 11,2896,2029,3103,783
Sep 4,3176,1562,2329,672
Aug 28,3546,1762,2962,762
Aug 21,3853,1985,3056,737
Aug 14,3627,1971,3010,784
Aug 7,3430,1829,2957,729
Jul 31,3500,1752,2915,779
Jul 24,3324,1841,2966,760
Jul 17,3301,1785,2978,759
Jul 10,3363,1650,2960,717
Jul 3,3560,1839,3019,722
Jun 26,3445,1817,3042,675
Jun 19,3595,1936,3069,739
Jun 12,3891,2135,3203,747
Jun 5,4122,2415,3418,754
May 29,3839,2503,2779,703
May 22,4611,3350,3529,798
May 15,5429,4461,3781,902
May 8,4451,4248,3195,763
May 1,6397,6409,4268,879
Apr 24,8243,7911,4834,1009
Apr 17,9434,7316,4570,1031
Apr 10,8578,4927,4117,894
Apr 3,7884,3769,3865,869
Mar 27,5105,2489,2786,762
Mar 20,4770,2335,2709,832
Mar 13,4975,2471,2725,846
