region of Finland,Finnish,Swedish,Sami,Foreign languages
Uusimaa,1321800,130829,137,236959
Southwest Finland,416228,27281,23,35809
Satakunta,208027,795,3,7927
Kanta-Häme,163052,645,7,7221
Pirkanmaa,489491,1978,31,26166
Päijät-Häme,187857,727,26,10994
Kymenlaakso,159741,1242,4,10180
South Karelia,119444,219,2,8092
South Savo,137234,236,3,4862
North Savo,236490,236,4,7506
North Karelia,154824,130,8,6249
Central Finland,265086,463,24,9531
South Ostrobothnia,183754,582,5,4344
Ostrobothnia,78559,89211,10,12665
Central Ostrobothnia,59940,6179,1,2038
North Ostrobothnia,399522,791,159,12358
Kainuu,70132,82,2,2090
Lapland,170108,466,1555,5032
Åland,1401,25862,0,2621
