Month,Passenger cars,Industrail and all-terrain vehicles,Motorcycles
Jun 14,163388,64614,227
May 14,167950,68363,169
Apr 14,148181,60314,180
Mar 14,159298,64803,198
Feb 14,158350,65074,164
Jan 14,127785,47226,159
Dec 13,90587,44595,205
Nov 13,140035,56600,398
Oct 13,152947,55781,477
Sep 13,148669,46795,300
Aug 13,54467,11431,170
Jul 13,165294,41152,204
Jun 13,160202,37474,194
May 13,172152,39654,263
Apr 13,151413,37854,198
Mar 13,141433,34941,353
Feb 13,167057,38599,1478
Jan 13,137600,39881,770
