Year,Brazil,China,Germany,Italy,South Korea,United States,World
17-Aug,3.23%,5.26%,4.12%,13.94%,1.97%,3.15%,3.55%
16-Aug,3.23%,5.27%,4.13%,13.96%,1.99%,3.16%,3.57%
15-Aug,3.25%,5.27%,4.14%,13.94%,2.03%,3.17%,3.58%
14-Aug,3.27%,5.27%,4.17%,13.97%,2.05%,3.18%,3.6%
13-Aug,3.29%,5.27%,4.19%,13.99%,2.06%,3.19%,3.63%
12-Aug,3.31%,5.28%,4.21%,14.02%,2.07%,3.2%,3.65%
11-Aug,3.33%,5.28%,4.23%,14.04%,2.08%,3.21%,3.67%
10-Aug,3.33%,5.28%,4.25%,14.05%,2.09%,3.23%,3.68%
9-Aug,3.34%,5.28%,4.26%,14.08%,2.09%,3.25%,3.7%
8-Aug,3.36%,5.28%,4.27%,14.09%,2.09%,3.27%,3.72%
7-Aug,3.38%,5.29%,4.29%,14.12%,2.09%,3.28%,3.74%
6-Aug,3.4%,5.3%,4.31%,14.14%,2.08%,3.28%,3.76%
5-Aug,3.42%,5.3%,4.32%,14.16%,2.09%,3.29%,3.78%
4-Aug,3.44%,5.3%,4.33%,14.17%,2.09%,3.3%,3.8%
3-Aug,3.44%,5.31%,4.35%,14.17%,2.09%,3.32%,3.82%
2-Aug,3.46%,5.31%,4.36%,14.18%,2.1%,3.34%,3.84%
1-Aug,3.47%,5.32%,4.36%,14.2%,2.1%,3.36%,3.86%
31-Jul,3.5%,5.33%,4.38%,14.21%,2.1%,3.38%,3.89%
30-Jul,3.53%,5.34%,4.39%,14.24%,2.1%,3.4%,3.92%
29-Jul,3.57%,5.35%,4.41%,14.25%,2.11%,3.43%,3.95%
28-Jul,3.59%,5.37%,4.42%,14.26%,2.11%,3.45%,3.97%
27-Jul,3.6%,5.37%,4.43%,14.26%,2.11%,3.47%,3.99%
26-Jul,3.61%,5.39%,4.44%,14.28%,2.11%,3.51%,4.03%
25-Jul,3.64%,5.39%,4.45%,14.29%,2.11%,3.54%,4.06%
24-Jul,3.68%,5.4%,4.46%,14.3%,2.13%,3.58%,4.09%
23-Jul,3.72%,5.41%,4.48%,14.32%,2.13%,3.61%,4.1%
22-Jul,3.77%,5.42%,4.48%,14.33%,2.14%,3.64%,4.13%
21-Jul,3.78%,5.42%,4.49%,14.33%,2.14%,3.68%,4.15%
20-July,3.79%,5.43%,4.5%,14.34%,2.15%,3.72%,4.18%
19-July,3.8%,5.43%,4.51%,14.35%,2.15%,3.78%,4.22%
18-July,3.8%,5.44%,4.51%,14.36%,2.14%,3.82%,4.25%
17-July,3.81%,5.44%,4.52%,14.37%,2.14%,3.87%,4.28%
16-July,3.83%,5.45%,4.53%,14.37%,2.14%,3.93%,4.31%
15-July,3.85%,5.45%,4.54%,14.38%,2.13%,3.98%,4.35%
14-July,3.86%,5.45%,4.55%,14.38%,2.14%,4.03%,4.38%
13-July,3.87%,5.45%,4.56%,14.38%,2.14%,4.09%,4.41%
12-July,3.88%,5.46%,4.56%,14.39%,2.15%,4.15%,4.45%
11-July,3.91%,5.46%,4.56%,14.4%,2.15%,4.21%,4.49%
10-July,3.94%,5.46%,4.57%,14.41%,2.16%,4.27%,4.53%
9-July,3.97%,5.46%,4.57%,14.42%,2.16%,4.33%,4.57%
8-July,4%,5.47%,4.58%,14.42%,2.15%,4.39%,4.61%
7-July,4.03%,5.47%,4.58%,14.42%,2.16%,4.43%,4.64%
6-July,4.05%,5.47%,4.59%,14.43%,2.16%,4.5%,4.67%
5-July,4.08%,5.47%,4.59%,14.44%,2.16%,4.57%,4.72%
4-July,4.1%,5.47%,4.59%,14.44%,2.17%,4.63%,4.76%
3-July,4.13%,5.47%,4.6%,14.45%,2.17%,4.7%,4.8%
2-July,4.19%,5.47%,4.61%,14.45%,2.19%,4.77%,4.85%
1-July,4.25%,5.47%,4.61%,14.45%,2.19%,4.84%,4.9%
30-June,4.26%,5.47%,4.62%,14.45%,2.2%,4.87%,4.93%
29-June,4.29%,5.48%,4.62%,14.46%,2.21%,4.94%,4.97%
28-June,4.34%,5.48%,4.63%,14.46%,2.22%,5%,5.02%
27-June,4.39%,5.48%,4.63%,14.46%,2.23%,5.07%,5.07%
26-June,4.48%,5.48%,4.65%,14.47%,2.24%,5.14%,5.12%
25-June,4.53%,5.48%,4.65%,14.47%,2.24%,5.12%,5.15%
24-June,4.59%,5.48%,4.66%,14.52%,2.24%,5.17%,5.19%
23-June,4.63%,5.48%,4.66%,14.52%,2.25%,5.21%,5.22%
22-June,4.66%,5.49%,4.67%,14.52%,2.25%,5.26%,5.26%
21-June,4.68%,5.49%,4.68%,14.53%,2.25%,5.31%,5.29%
20-June,4.74%,5.49%,4.7%,14.52%,2.26%,5.36%,5.34%
19-June,4.88%,5.49%,4.71%,14.49%,2.28%,5.41%,5.4%
18-June,4.87%,5.49%,4.72%,14.48%,2.28%,5.44%,5.41%
17-June,4.9%,5.49%,4.72%,14.49%,2.29%,5.47%,5.46%
16-June,4.95%,5.5%,4.71%,14.48%,2.29%,5.49%,5.47%
15-June,4.99%,5.5%,4.71%,14.49%,2.29%,5.53%,5.51%
14-June,5.02%,5.5%,4.72%,14.49%,2.29%,5.56%,5.56%
13-June,5.05%,5.51%,4.72%,14.48%,2.3%,5.6%,5.6%
12-June,5.1%,5.51%,4.72%,14.47%,2.31%,5.63%,5.65%
11-June,5.14%,5.51%,4.72%,14.47%,2.31%,5.64%,5.69%
10-June,5.19%,5.51%,4.72%,14.45%,2.32%,5.66%,5.72%
9-June,5.25%,5.51%,4.72%,14.44%,2.31%,5.66%,5.75%
8-June,5.27%,5.51%,4.71%,14.43%,2.31%,5.69%,5.79%
