Year,Men,Women
Rio 2016,22.52,20.63
London 2012,21.89,20.7
Beijing 2008,21.51,20.56
Athens 2004,21.16,19.59
Sydney 2000,21.29,20.56
Atlanta 1996,21.62,20.56
Barcelona 1992,21.7,21.06
Seoul 1988,22.47,22.24
Los Angeles 1984,21.26,20.48
Moscow 1980,21.35,22.41
Montreal 1976,21.05,21.16
Munich 1972,21.18,21.03
Mexico City 1968,20.54,19.61
Tokyo 1964,20.33,18.14
Rome 1960,19.68,17.32
Melbourne 1956,18.57,16.59
Helsinki 1952,17.41,15.28
London 1948,17.12,13.75
Berlin 1936,16.2,-
Los Angeles 1932,16.01,-
Amsterdam 1928,15.87,-
Paris 1924,15.0,-
Antwerp 2020,14.81,-
Stockholm 1912,15.34,-
London 1908,14.21,-
St. Louis 1904,14.81,-
Paris 1900,14.1,-
Athens 1896,11.22,-
