Year,Federal government,Provincial and territorial government,Local government,Canada Pension Plan (CPP) and Quebec Pension Plan (QPP)
2013 Q1,73587,108800,36935,12838
2013 Q2,66260,100032,38440,12735
2013 Q3,66913,102141,36183,12754
2013 Q4,66742,104879,38735,13168
2014 Q1,73628,110508,38497,13238
2014 Q2,66644,103858,39741,13046
2014 Q3,66708,103576,37291,13378
2014 Q4,67114,107079,39828,13448
2015 Q1,75271,114055,40297,14261
2015 Q2,67701,105863,41436,13959
2015 Q3,70401,107651,38466,14335
2015 Q4,69461,110284,41019,14176
2016 Q1,77804,115918,41547,14593
2016 Q2,70530,110416,42933,14526
2016 Q3,72918,110572,40164,14800
2016 Q4,74418,113787,42887,14851
2017 Q1,85305,120094,43166,15485
2017 Q2,75312,114928,44852,15382
2017 Q3,76806,114831,42001,15486
2017 Q4,77327,117227,45485,15644
2018 Q1,88219,129224,45503,16222
2018 Q2,77142,119250,47423,16207
2018 Q3,80298,120252,44219,16185
2018 Q4,80856,126326,47426,16446
2019 Q1,96428,133328,47873,16830
2019 Q2,83867,124108,49450,16847
2019 Q3,84187,124560,46388,17159
2019 Q4,85947,129786,49998,17233
2020 Q1,102899,138175,49646,17808
2020 Q2,172953,129673,47844,17726
