cardiovascular devices market,2007,2014,2021
Cardiac Rhythm Management Devices,5993.8,5665.2,5609.2
Peripheral Vascular Devices,2167.7,2872.1,4240.5
Interventional Cardiology,3983.8,2765.8,2054.4
Prosthetic Heart Valves,684.4,1354.1,4720.3
Electrophysiology Devices,832.0,1056.9,1401.1
Cardiac Assist Devices,308.4,653.4,1021.1
Cardiovascular Surgery Devices,656.6,622.0,674.1
External Defibrillators,383.1,422.6,472.0
Clot Management Devices,152.7,250.0,441.1
Cardiovascular Prosthetic Devices,30.9,44.8,55.0
