Year,World,Africa,Asia,Europe,Latin America and Caribbean,North America,Oceania
2015-2020,18.5,33.6,16.4,10.4,16.5,11.8,16.7
2010-2015,19.5,35.9,17.6,10.9,17.7,12.4,17.4
2005-2010,20.3,37.0,18.8,10.9,19.0,13.5,18.3
2000-2005,21.0,37.8,19.9,10.1,21.1,13.7,18.0
1995-2000,22.2,38.9,21.6,10.3,23.4,14.0,18.8
1990-1995,24.2,40.5,24.2,11.5,25.7,15.3,19.8
1985-1990,27.4,42.9,28.6,13.7,28.2,15.5,20.2
1980-1985,27.7,44.7,28.8,14.3,30.9,15.3,20.8
1975-1980,28.5,45.5,30.0,14.8,33.1,14.8,21.2
1970-1975,31.5,46.0,34.9,15.6,35.0,15.6,23.9
1965-1970,34.0,46.5,38.8,16.8,37.8,17.7,24.7
1960-1965,35.2,47.2,39.8,19.1,40.6,21.4,26.4
1955-1960,35.4,47.6,39.3,20.9,41.6,24.1,27.7
1950-1955,36.9,47.9,42.0,21.5,42.5,24.4,27.8
