top 20 part-time MBA programs,Resident,Non-resident
Carnegie Mellon University - Tepper School of Business,1845,1845
"University of California, Berkeley - Haas School of Business",2790,2790
Southern Methodist University - Cox School of Business,1,1
"University of California, Los Angeles - Anderson School of Management",1423,1423
Elon University - Love School of Business,798,798
Loyola Marymount University - College of Business Administration,1219,1219
Rice University - Jones Graduate School of Businessl,1768,1768
University of Chicago - Booth School of Business**,-,-
Rollins College - College of Arts & Science,1126,1126
"University of Michigan, Ann Arbor - Ross School of Business",1721,1888
University of Southern California - Marshall School of Business,1576,1576
Lehigh University - College of Business and Economics,1050,1050
The University of North Carolina at Greensboro - Bryan School of Business,767,2448
Emory University - Goizueta Business School**,-,-
University of Washington - Foster School of Business,885,885
Worcester Polytechnic Institute - School of Business,1281,1281
University of San Diego - School of Business Administration,1310,1310
"University of Nebraska, Lincoln - College of Business Administration",352,978
Villanova University - School of Business,1000,1000
North Carolina State University - Poole College of Management,1112,1918
