Month and year,Imports,Exports
May20,2126.39,1341.87
Apr20,1791.28,1245.49
Mar20,2202.87,1834.65
Feb20,2252.91,1658.63
Jan20,2473.84,1482.41
Dec19,2285.52,1743.61
Nov19,2364.07,1756.91
Oct19,2705.2,1911.22
Sep19,2350.28,1923.94
Aug19,2378.62,2162.17
Jul19,2098.14,1937.19
Jun19,2332.7,1696.37
May19,2213.44,1852.12
Apr19,2095.99,1693.9
Mar19,1932.72,1933.66
Feb19,1800.9,1739.38
Jan19,1993.82,1625.39
Dec18,1874.15,1630.57
Nov18,2014.41,1813.67
Oct18,1855.75,1686.62
Sep18,1691.33,1560.51
Aug18,1727.69,1630.84
Jul18,1665.59,1643.3
Jun18,1808.53,1786.1
May18,1959.66,1673.68
Apr18,2085.99,1670.06
Mar18,2061.86,1735.13
Feb18,1744.96,1723.55
Jan18,1968.09,1729.46
Dec17,1736.48,1764.41
Nov17,1821.26,1711.98
Oct17,1785.05,1697.1
Sep17,1593.22,1654.96
Aug17,1677.52,1636.48
Jul17,1560.95,1545.66
Jun17,1843.63,1596.39
May17,1833.06,1619.64
Apr17,1571.17,1563.29
Mar17,1653.93,1705.36
Feb17,1564.09,1633.6
Jan17,1927.75,1463.99
