industry,Small business GDP,Large business GDP
Mining & Manufacturing,534845,1371949
Whosesale & Retail Trade,703034,917752
Finance and Insurance,513139,1007540
Professional and Technical Services,644253,472905
Health Services,551558,529801
Real Estate and Leasing,651873,212209
Information,74738,564026
Construction,424850,84241
Administration and Waste Management Services,186604,233637
Accommodation and Food Service,216980,194591
Transportation and Warehousing,140836,262234
Other services (excluding government),290734,53973
Utilities,29000,247113
Holding Companies,85675,171147
Education Services,67266,101959
Arts and Entertainment,93034,42234
