Response,2014,2015
Protecting customer information,31%,34%
Protecting the organisation's reputation,14%,21%
Preventing downtime and outages,13%,11%
Protecting intellectual property,12%,10%
Complying with laws/regulations,13%,10%
Maintaining data integrity,7%,5%
Government cyber security initiatives*,-,2%
Enabling business opportunities,2%,2%
Business continuity in a disaster situation,4%,2%
Improving efficiency/cost reduction,3%,1%
Suffered a serious security breach*,-,1%
Protecting other assets (e.g. cash) from theft,1%,1%
