Country,Employees,Own-account workers,Employers,Contributing family workers
Bahamas,85.9%,13.8%,0%,0.3%
Puerto Rico,83.4%,12.2%,4.3%,0.2%
Barbados,83.3%,15.8%,0.8%,0.1%
Trinidad and Tobago,76.5%,17.7%,5.4%,0.5%
Costa Rica,74.9%,19.4%,4.1%,1.7%
Saint Vincent and the Grenadines,74.6%,18.5%,5.5%,1.4%
Argentina,74.3%,21.3%,3.9%,0.5%
Cuba,73.3%,21.1%,3.6%,2%
Chile,73.1%,21.6%,4.3%,1.1%
Uruguay,71.9%,23.6%,3.7%,0.8%
Mexico,68.3%,22.5%,4.8%,4.5%
Guyana,67.5%,21.7%,6.9%,3.9%
Brazil,67.3%,25.6%,4.8%,2.3%
Belize,67%,26.4%,3.4%,3.2%
Saint Lucia,63.5%,28.5%,6.9%,1.1%
Panama,62.6%,29.6%,3.1%,4.6%
Regional average,62.5%,28.5%,4.4%,4.6%
"Venezuela, Bolivarian Republic of",61.6%,33.8%,2.8%,1.8%
El Salvador,61.3%,28.4%,4.5%,5.8%
Jamaica,60.7%,34.8%,3.5%,0.9%
Guatemala,59.7%,28.1%,2.8%,9.4%
Paraguay,57.1%,30.2%,5.4%,7.3%
Dominican Republic,56.2%,38.6%,3.4%,1.8%
Nicaragua,53.8%,31.3%,5.3%,9.5%
Ecuador,50.3%,34.3%,3%,12.4%
Colombia,48.8%,43.6%,4.1%,3.4%
Honduras,48.7%,32%,9.9%,9.4%
Peru,45.6%,37.2%,4%,13.2%
Bolivia,31.9%,45.1%,4.9%,18.1%
Haiti,27.1%,51%,0.7%,21.3%
