Year and candidate,Democrat,Republican,Progressive Party
2020: Joe Biden*,10,-,-
2016: Donald Trump*,-,10,-
2012: Barack Obama*,10,-,-
2008: Barack Obama*,10,-,-
2004: John Kerry,10,-,-
2000: Al Gore,11,-,-
1996: Bill Clinton*,11,-,-
1992: Bill Clinton*,11,-,-
1988: Michael Dukakis,11,-,-
1984: Ronald Reagan*,-,11,-
1980: Ronald Reagan*,-,11,-
1976: Jimmy Carter*,11,-,-
1972: Richard Nixon*,-,11,-
1968: Richard Nixon*,-,12,-
1964: Lyndon B. Johnson*,12,-,-
1960: Richard Nixon,-,12,-
1956: Dwight D. Eisenhower*,-,12,-
1952: Dwight D. Eisenhower*,-,12,-
1948: Harry S. Truman*,12,-,-
1944: Thomas E. Dewey,-,12,-
1940: Franklin D. Roosevelt*,12,-,-
1936: Franklin D. Roosevelt*,12,-,-
1932: Franklin D. Roosevelt*,12,-,-
1928: Herbert Hoover*,-,13,-
1924: Robert La Follette,-,-,13
1920: Warren G. Harding*,-,13,-
1916: Charles Evans Hughes,-,13,-
1912: Woodrow Wilson*,13,-,-
1908: William Howard Taft*,-,13,-
1904: Theodore Roosevelt*,-,13,-
1900: William McKinley*,-,12,-
1896: William McKinley*,-,12,-
1892: Grover Cleveland*,12,-,-
1888: Benjamin Harrison*,-,11,-
1884: James G. Blaine,-,11,-
1880: James A. Garfield*,-,10,-
1876: Rutherford B. Hayes*,-,10,-
1872: Ulysses S. Grant*,-,10,-
1868: Ulysses S. Grant*,-,8,-
1864: Abraham Lincoln*,-,8,-
1860: Abraham Lincoln*,-,5,-
1856: John C. Frémont,-,5,-
1852: Franklin Pierce*,5,-,-
1848: Lewis Cass,4,-,-
