Response,Assets less than 10 million U.S. dollars,Assets over 10 million U.S. dollars
My health or the health of family members,36%,37%
My children will lack the drive and ambition to get ahead,8%,15%
I may fail to support my immediate family,13%,9%
My investments may fail,10%,8%
I may lose touch with my family due to work commitments,7%,7%
My children will not get the education they need to get ahead,7%,6%
I or members of my family may overspend,5%,6%
Marital breakdown,5%,6%
I may fail to support my wider family,3%,3%
I may take on too much risk,5%,2%
