Response,2017,2018,2019 (H1),2020 (H1)
Zalando.dk,2.7%,3.4%,4%,4%
H&M/Hennes&Mauritz,1.4%,1.9%,1.7%,2.1%
Nemlig.com,1.2%,1.3%,1.9%,2.1%
Matas webshop,0.6%,0.8%,1.3%,2.1%
Coop.dk,1.8%,1.6%,1.4%,1.6%
Just-Eat,0.7%,0.9%,2%,1.6%
Wish.com,1.7%,1.8%,1.4%,1.2%
Elgiganten,1.1%,1.2%,1.1%,1.2%
Bilka.dk,1%,1.2%,0.7%,1.1%
Amazon/Amazon.com/Amazon.co.uk,1.8%,2%,1.2%,1.1%
Saxo Boghandel,1.4%,1.1%,0.9%,1.1%
Danske Spil,0%,0.7%,1.3%,1.1%
DSB,0.9%,1%,1.3%,0.9%
Boozt.com,0.9%,1.1%,1%,0.9%
Ebay,1.9%,1.7%,1.1%,0.7%
Ticketmaster,0.6%,0.8%,-,-
Coolshop,0%,0.8%,-,-
Asos,0.7%,0.7%,-,-
Cdon.com,1.1%,0.8%,-,-
Aliexpress.com,0%,0.8%,-,-
Zooplus,-,-,0.8%,0.7%
Webapoteket,-,-,-,0.7%
Med24,-,-,-,0.6%
