Year,Conservative,Labour,Liberal Democrats,Other
2019,43.6%,32.2%,11.5%,12.7%
2017,42.3%,40%,7.4%,10.4%
2015,36.8%,30.4%,7.9%,24.9%
2010,36.1%,29%,23%,11.9%
2005,32.4%,35.2%,22%,10.4%
2001,31.6%,40.7%,18.3%,9.5%
1997,30.7%,43.2%,16.8%,9.3%
1992,41.9%,34.4%,17.8%,5.8%
1987,42.2%,30.8%,22.6%,4.4%
1983,42.4%,27.6%,25.4%,4.6%
1979,43.9%,36.9%,13.8%,5.4%
October 1974,35.7%,39.3%,18.3%,6.7%
February 1974,37.8%,37.2%,19.3%,5.8%
1970,46.4%,43%,7.5%,3.2%
1966,41.9%,47.9%,8.5%,1.7%
1964,43.3%,44.1%,11.2%,1.4%
1959,49.4%,43.8%,5.9%,1%
1955,49.6%,46.4%,2.7%,1.3%
1951,48%,48.8%,2.6%,0.7%
1950,43.3%,46.1%,9.1%,1.5%
1945,39.7%,47.7%,9%,3.6%
1935,53.5%,37.9%,6.6%,2.1%
1931,60.8%,30.7%,6.8%,1.7%
1929,38.2%,37%,23.4%,1.4%
1924,47.2%,33%,17.6%,2.2%
1923,37.9%,30.5%,29.6%,2%
1922,38.2%,29.4%,28.8%,3.6%
1918,38.4%,20.8%,25.8%,14.9%
