Year,Canada Pension Plan (CPP) and Quebec Pension Plan (QPP),Local government,Federal government,Provincial and territorial government
2013 Q1,18585,40518,65690,97287
2013 Q2,18575,39766,64182,95325
2013 Q3,13455,38472,65525,99553
2013 Q4,11180,40087,66270,101650
2014 Q1,19392,41935,73421,102538
2014 Q2,18703,41668,67052,101119
2014 Q3,14410,38433,67601,103062
2014 Q4,11894,40445,67155,106516
2015 Q1,21181,43516,73710,103476
2015 Q2,19608,42018,72196,103005
2015 Q3,14999,40721,69939,104997
2015 Q4,12899,42694,71676,109251
2016 Q1,21448,43365,77688,107846
2016 Q2,20510,44768,72730,106265
2016 Q3,15393,42743,70341,108907
2016 Q4,12292,44607,72427,112637
2017 Q1,23042,45753,79681,114195
2017 Q2,21268,46857,80819,112700
2017 Q3,16269,44355,76363,114398
2017 Q4,13617,45515,77681,117977
2018 Q1,22710,51816,86807,119488
2018 Q2,22191,47826,81512,115877
2018 Q3,17116,45781,81623,118572
2018 Q4,14472,47964,82604,122907
2019 Q1,24241,52572,90309,127432
2019 Q2,24265,49129,85907,122231
2019 Q3,18696,47574,83291,123069
2019 Q4,15641,50057,84926,128461
2020 Q1,26176,52646,89733,125741
2020 Q2,23209,51836,74867,116494
