Month and year,Imports,Exports
May20,590.09,350.0
Apr20,754.83,349.86
Mar20,682.41,509.17
Feb20,677.52,331.89
Jan20,731.2,516.67
Dec19,634.3,500.03
Nov19,740.3,416.36
Oct19,793.52,489.26
Sep19,809.49,343.43
Aug19,770.27,386.5
Jul19,967.12,411.71
Jun19,802.32,419.0
May19,708.27,452.14
Apr19,844.76,337.66
Mar19,835.53,482.96
Feb19,773.29,372.95
Jan19,925.77,440.75
Dec18,965.74,463.79
Nov18,930.92,334.36
Oct18,1123.9,461.4
Sep18,1052.45,417.67
Aug18,924.68,382.94
Jul18,953.25,364.59
Jun18,932.93,502.28
May18,998.77,799.04
Apr18,977.29,446.77
Mar18,1059.27,488.39
Feb18,824.09,394.93
Jan18,780.24,467.74
Dec17,814.65,507.78
Nov17,739.66,503.87
Oct17,967.0,473.21
Sep17,1018.56,603.95
Aug17,835.17,567.49
Jul17,899.48,412.61
Jun17,669.55,395.91
May17,704.76,391.35
Apr17,531.56,390.83
Mar17,775.37,443.61
Feb17,669.77,480.9
Jan17,657.13,390.9
