province of Canada,Animal Protection Party,Bloc Québécois,Christian Heritage Party,Conservative,Green Party,Independent,Liberal,Libertarian,NDP-New Democratic Party,Parti Rhinocéros Party,People's Party,Pour l'Indépendance du Québec,VCP
Alberta,-,-,0.2%,69.2%,2.8%,0.1%,13.7%,-,11.5%,-,2.2%,-,0.1%
British Columbia,-,-,0.1%,34.1%,12.4%,0.9%,26.1%,0.1%,24.4%,-,1.7%,-,-
Manitoba,-,-,0.5%,45.4%,5.1%,0.2%,26.3%,-,20.7%,-,1.7%,-,-
New Brunswick,0.2%,-,0.1%,32.8%,17%,0.7%,37.6%,-,9.4%,-,2.1%,-,-
Newfoundland and Labrador,-,-,0.1%,28%,3.1%,-,44.7%,-,23.9%,-,0.1%,-,0.2%
Northwest Territories,-,-,-,25.8%,10.6%,-,40%,-,21.8%,-,1.8%,-,-
Nova Scotia,-,-,-,25.7%,11%,1.5%,41.3%,-,18.9%,-,1.2%,-,0.2%
Nunavut,-,-,-,25.8%,2.1%,-,31%,-,41.2%,-,-,-,-
Ontario,-,-,0.1%,33.2%,6.2%,0.4%,41.5%,0.1%,16.8%,-,1.6%,-,-
Prince Edward Island,-,-,0.5%,27.4%,20.8%,-,43.6%,-,7.6%,-,-,-,-
Quebec,-,32.5%,-,16%,4.4%,0.2%,34.2%,-,10.7%,0.2%,1.5%,0.1%,-
Saskatchewan,-,-,-,64.3%,2.5%,0.2%,11.6%,-,19.5%,-,1.8%,-,-
Yukon,-,-,-,33.1%,10.3%,-,33.4%,-,21.8%,-,1.4%,-,-
