Month and year,Imports,Exports
May20,2538.64,1100.34
Apr20,2608.01,1332.0
Mar20,3386.98,3260.78
Feb20,3488.89,2881.76
Jan20,3318.74,2537.1
Dec19,3141.18,3176.96
Nov19,3360.21,3584.64
Oct19,3911.39,3740.53
Sep19,3506.9,3862.54
Aug19,3855.89,3460.81
Jul19,3671.17,3454.95
Jun19,3448.49,3519.49
May19,3702.48,3686.36
Apr19,3598.22,2917.14
Mar19,3640.0,3529.58
Feb19,3367.55,2949.25
Jan19,3111.29,2437.92
Dec18,3360.75,2786.56
Nov18,3327.33,2903.38
Oct18,3837.33,3529.7
Sep18,3202.98,2436.92
Aug18,3482.47,2177.65
Jul18,3239.8,2212.99
Jun18,3311.15,3099.02
May18,3294.99,3321.84
Apr18,3378.19,2745.79
Mar18,3587.64,3673.59
Feb18,2995.85,2672.39
Jan18,3194.46,2321.14
Dec17,3046.63,2686.69
Nov17,3173.23,2487.87
Oct17,3527.95,2886.82
Sep17,3128.35,2724.95
Aug17,3201.23,2585.41
Jul17,2900.59,2616.45
Jun17,3238.04,2660.03
May17,3222.34,2342.02
Apr17,2982.2,2817.07
Mar17,3332.61,2533.22
Feb17,2852.78,2614.21
Jan17,2898.01,2176.24
