Response,Company-owned,Franchised
Alabama,3,77
Alaska,-,11
Arizona,-,69
Arkansas,-,26
California,-,184
Colorado,-,46
Connecticut,-,5
Delaware,-,17
District of Columbia,-,11
Florida,39,246
Georgia,82,91
Hawaii,-,14
Idaho,-,14
Illinois,8,75
Indiana,43,92
Iowa,-,24
Kansas,15,19
Kentucky,44,67
Louisiana,-,59
Maine,-,3
Maryland,60,42
Massachusetts,-,8
Michigan,-,36
Minnesota,-,35
Mississippi,-,30
Missouri,42,29
Montana,-,9
Nebraska,-,13
Nevada,-,24
New Hampshire,-,2
New Jersey,-,52
New Mexico,-,16
New York,-,83
North Carolina,100,81
North Dakota,-,9
Ohio,-,161
Oklahoma,-,36
Oregon,-,13
Pennsylvania,-,79
Rhode Island,-,4
South Carolina,8,71
South Dakota,-,13
Tennessee,34,81
Texas,94,216
Utah,-,32
Virginia,26,120
Washington,-,43
West Virginia,-,22
Wisconsin,-,25
Wyoming,-,9
