Year,Men,Women
Rio 2016,47.73,53.13
London 2012,47.63,52.7
Beijing 2008,47.25,52.64
Athens 2004,47.63,52.82
Sydney 2000,47.5,53.02
Atlanta 1996,47.54,52.82
Barcelona 1992,46.78,53.23
Seoul 1988,47.19,53.17
Los Angeles 1984,47.75,54.61
Moscow 1980,48.7,-
Montreal 1976,47.64,-
Munich 1972,47.82,-
Mexico City 1968,48.1,-
Tokyo 1964,49.6,-
Rome 1960,49.3,-
Melbourne 1956,50.1,-
Helsinki 1952,50.8,-
London 1948,51.1,-
Berlin 1936,52.4,-
Los Angeles 1932,51.8,-
Amsterdam 1928,53.4,-
Paris 1924,52.6,-
Antwerp 1920,54,-
Stockholm 1912*,-,-
London 1908,55,-
St. Louis 1904,53,-
Paris 1900,57.6,-
