Year,Match revenue,Advertising,Media receipts,Transfers,Merchandising,Other takings
2018/19,12.94%,21.03%,36.9%,16.8%,4.38%,7.96%
2017/18,14.12%,22.86%,32.72%,16.93%,4.81%,8.56%
2016/17,14.93%,25.3%,28.46%,17.24%,5.68%,8.39%
2015/16,16.26%,23.81%,28.77%,16.41%,6.22%,8.52%
2014/15,19.85%,25.65%,27.88%,8.8%,7.49%,10.33%
2013/14,19.72%,26.18%,29.3%,6.99%,7.64%,10.16%
2012/13,21.6%,26.64%,28.53%,7.14%,5.54%,10.55%
2011/12,21.18%,26.58%,26.24%,10.08%,4.51%,11.42%
2010/11,21.17%,26.92%,26.76%,10.07%,4.08%,11%
2009/10,21.43%,28.92%,28.55%,6.01%,4.17%,10.93%
2008/09,21.19%,28.5%,28.48%,8.18%,4.08%,9.58%
