Year,Males,Females
2016-2018,80.7,84.5
2015-2017,80.5,84.3
2014-2016,80.4,84.2
2013-2015,80.2,84.1
2012-2014,80.2,84.0
2011-2013,79.9,83.9
2010-2012,79.5,83.6
2009-2011,79.2,83.4
2008-2010,78.7,82.9
2007-2009,78.3,82.7
2006-2008,78.0,82.4
2005-2007,77.6,82.2
2004-2006,77.3,81.8
2003-2005,76.8,81.3
2002-2004,76.4,81.0
2001-2003,76.0,80.8
2000-2002,75.8,80.8
1999-2001,75.5,80.5
1998-2000,75.2,80.3
1997-1999,74.9,80.1
1996-1998,74.5,80.0
1995-1997,74.1,79.7
1994-1996,73.9,79.7
1993-1995,73.7,79.5
1992-1994,73.6,79.5
1991-1993,73.3,79.3
