Year and candidate,Democrat,Republican
2020: Joe Biden*,11,-
2016: Donald Trump*,-,11
2012: Mitt Romney,-,11
2008: John McCain,-,10
2004: George W. Bush*,-,10
2000: George W. Bush*,-,8
1996: Bill Clinton*,8,-
1992: George H. W. Bush,-,8
1988: George H. W. Bush*,-,7
1984: Ronald Reagan*,-,7
1980: Ronald Reagan*,-,6
1976: Gerald R. Ford,-,6
1972: Richard Nixon*,-,6
1968: Richard Nixon*,-,5
1964: Barry M. Goldwater,-,5
1960: Richard Nixon,-,4
1956: Dwight D. Eisenhower*,-,4
1952: Dwight D. Eisenhower*,-,4
1948: Harry S. Truman*,4,-
1944: Franklin D. Roosevelt*,4,-
1940: Franklin D. Roosevelt*,3,-
1936: Franklin D. Roosevelt*,3,-
1932: Franklin D. Roosevelt*,3,-
1928: Herbert Hoover*,-,3
1924: Calvin Coolidge*,-,3
1920: Warren G. Harding*,-,3
1916: Woodrow Wilson*,3,-
1912: Woodrow Wilson*,3,-
