Year,Africa,Americas,Eastern Mediterranean,Europe,South-East Asia,Western Pacific
2018,54482,65775,23145,20114,32018,303978
2017,41490,52839,43053,26803,61783,334654
2016,100576,27511,75680,20874,31739,335304
2015,28492,19115,20391,10027,42937,264774
2014,7,18377,9608,10807,38327,234473
2013,8147,16747,27958,35303,36352,391809
2012,2401,22801,8524,39072,47086,568050
2011,10808,31586,6658,27487,50626,599473
2010,13836,37942,8777,26313,46072,486449
2009,1698,31384,9912,41448,49012,413230
2008,16944,42344,10144,71139,14820,382349
2007,9097,47561,8176,71154,10969,260916
2006,9303,37427,10965,89270,13363,482993
2005,18215,34031,14241,242011,14532,296032
2004,19266,29947,26492,251003,12861,314647
2003,11550,20712,12351,188413,13779,87719
2002,18023,9477,19861,169110,13563,257898
2001,15731,46894,35431,160350,14994,138941
2000,38713,43840,65935,243344,9395,142866
1999,13327,35825,64361,385248,34250,25111
