Year,Current projection,Mandates easing,Universal masks
31-Mar,113652,222786,70797
30-Mar,117479,231818,73280
29-Mar,121413,241152,75833
28-Mar,125444,250781,78452
27-Mar,129485,260538,81081
26-Mar,133526,270393,83711
25-Mar,137743,280681,86451
24-Mar,142148,291435,89311
23-Mar,146652,302494,92236
22-Mar,151263,313873,95229
21-Mar,155988,325586,98297
20-Mar,160721,337412,101369
19-Mar,165433,349293,104431
18-Mar,170318,361622,107608
17-Mar,175408,374450,110915
16-Mar,180594,387558,114279
15-Mar,185856,400931,117691
14-Mar,191211,414590,121166
13-Mar,196553,428299,124634
12-Mar,201862,442011,128080
11-Mar,207332,456144,131634
10-Mar,213003,470764,135318
9-Mar,218830,485755,139095
8-Mar,224751,501001,142931
7-Mar,230754,516465,146823
6-Mar,236719,531890,150697
5-Mar,242621,547198,154531
4-Mar,248677,562824,158459
3-Mar,254893,578820,162496
2-Mar,261159,594916,166583
1-Mar,267488,611092,170718
28-Feb,273900,627423,174913
27-Feb,280255,643593,179084
26-Feb,286527,659481,183199
25-Feb,292908,675512,187386
24-Feb,299462,691768,191674
23-Feb,306045,707958,195979
22-Feb,312593,723990,200278
21-Feb,319198,739959,204609
20-Feb,325799,755645,208918
19-Feb,332319,770895,213172
18-Feb,338905,786041,217469
17-Feb,345607,801138,221841
16-Feb,352312,815988,226211
15-Feb,359030,830551,230599
14-Feb,365784,844807,235030
13-Feb,372487,858559,239424
12-Feb,379118,871688,243781
11-Feb,385750,884408,248163
10-Feb,392419,896773,252594
9-Feb,399117,908665,257076
8-Feb,405855,920061,261612
7-Feb,412601,930970,266175
6-Feb,419254,941243,270713
5-Feb,425800,950745,275246
4-Feb,432294,959506,279806
3-Feb,438720,967535,284378
2-Feb,445119,974902,288974
1-Feb,451467,981597,293603
31-Jan,457763,987556,298263
30-Jan,464069,992774,302988
29-Jan,470330,997230,307731
28-Jan,476485,1000907,312526
27-Jan,482535,1003753,317341
26-Jan,488518,1005880,322138
25-Jan,494399,1007278,327010
24-Jan,500225,1007930,331952
23-Jan,506040,1007973,336953
22-Jan,511813,1007306,341980
21-Jan,517322,1005559,346950
20-Jan,522629,1002875,351920
19-Jan,527901,999543,356929
18-Jan,533114,995553,361994
17-Jan,538290,990923,367198
16-Jan,543640,985917,372629
15-Jan,549045,980440,378229
14-Jan,554118,973895,383776
13-Jan,558864,966379,389272
12-Jan,563509,958373,394831
11-Jan,568056,949817,400419
10-Jan,572452,940841,406092
9-Jan,577090,931847,412130
8-Jan,581975,922771,418527
7-Jan,586522,912956,424874
6-Jan,590703,902505,431240
5-Jan,594714,891818,437913
4-Jan,598707,880794,444920
3-Jan,602437,869329,452187
2-Jan,608607,861162,461874
1-Jan,614606,852614,471891
31-Dec,617844,840413,480219
30-Dec,621244,828242,488984
29-Dec,624240,815405,497675
28-Dec,626620,802056,506108
27-Dec,628650,788675,514464
26-Dec,630433,775272,522785
25-Dec,631711,761846,530773
24-Dec,632535,748796,538320
23-Dec,632332,736037,544685
22-Dec,629512,722718,552378
21-Dec,650645,708919,585142
20-Dec,678444,695239,624033
19-Dec,678048,681703,636971
18-Dec,666729,668305,638505
17-Dec,654160,655481,637625
16-Dec,641894,643109,636073
15-Dec,629214,630343,628301
14-Dec,616626,617355,615523
13-Dec,604421,604604,603449
12-Dec,592086,592086,591299
11-Dec,579786,579786,579195
10-Dec,568143,568143,567734
9-Dec,557096,557096,556857
8-Dec,545768,545768,545689
7-Dec,534293,-,-
6-Dec,523200,-,-
5-Dec,511967,-,-
4-Dec,500468,-,-
3-Dec,489745,-,-
2-Dec,479998,-,-
1-Dec,470581,-,-
