Month,Infected,Deaths
Nov 20,62580,995
Nov 12,50870,686
Nov 3,37382,412
Oct 20,14477,192
Oct 12,8832,169
Sep 6,3190,130
Aug 30,2883,128
Aug 23,2665,128
Aug 13,2369,124
Aug 8,2249,120
Aug 2,2181,117
Jul 26,2087,117
Jul 18,1946,111
Jul 12,1849,111
Jul 9,1793,111
Jul 4,1700,111
Jul 3,1679,111
Jul 2,1649,111
Jul 1,1633,111
Jun 30,1612,111
Jun 29,1600,111
Jun 28,1585,111
Jun 27,1581,111
Jun 26,1572,111
Jun 25,1558,111
Jun 24,1547,111
Jun 23,1541,111
Jun 22,1534,111
Jun 21,1521,109
Jun 20,1520,109
Jun 19,1519,109
Jun 18,1513,109
Jun 17,1511,109
Jun 16,1503,109
Jun 15,1499,109
Jun 14,1496,109
Jun 13,1495,109
Jun 12,1492,109
Jun 11,1490,109
Jun 10,1488,109
Jun 9,1488,109
Jun 8,1486,108
Jun 7,1485,108
Jun 6,1485,108
Jun 5,1484,108
Jun 4,1479,108
Jun 3,1477,108
Jun 2,1477,108
Jun 1,1475,108
May 31,1473,108
May 30,1473,108
May 29,1473,108
May 28,1473,108
May 27,1473,108
May 26,1471,107
May 25,1469,106
May 24,1469,106
May 23,1468,106
May 22,1468,106
May 21,1468,106
May 20,1468,106
May 19,1468,104
May 18,1467,103
May 17,1466,103
May 16,1466,103
May 15,1465,103
May 14,1465,103
May 13,1464,103
May 12,1463,102
May 11,1461,101
May 10,1460,99
May 9,1457,99
May 8,1454,99
May 7,1450,99
May 6,1449,99
May 5,1448,97
May 4,1445,96
May 3,1439,92
May 2,1439,90
May 1,1439,90
Apr 30,1434,90
Apr 29,1429,87
Apr 28,1418,84
Apr 27,1409,84
Apr 26,1403,83
Apr 25,1397,82
Apr 24,1389,82
Apr 23,1374,82
Apr 22,1367,79
Apr 21,1354,79
Apr 20,1345,77
Apr 19,1336,77
Apr 18,1341,74
Apr 17,1328,70
Apr 16,1315,66
Apr 15,1279,61
Apr 14,1259,61
Apr 13,1231,56
Apr 12,1223,55
Apr 11,1216,53
Apr 10,1199,50
Apr 9,1172,45
Apr 8,1136,43
Apr 7,1103,40
Apr 6,1067,36
Apr 5,1033,30
Apr 4,1009,28
Apr 3,989,22
Apr 2,948,20
Apr 1,911,16
Mar 31,855,15
Mar 30,814,13
Mar 29,763,11
Mar 28,737,11
Mar 27,691,9
Mar 26,638,6
Mar 25,577,5
Mar 24,528,4
Mar 23,478,3
Mar 22,439,2
Mar 21,402,1
Mar 20,368,1
Mar 19,339,1
Mar 18,315,1
Mar 17,283,1
Mar 16,272,1
Mar 15,247,1
Mar 14,215,1
Mar 13,174,-
Mar 12,127,-
Mar 11,77,-
Mar 10,47,-
Mar 9,29,-
Mar 8,19,-
Mar 7,13,-
Mar 6,9,-
Mar 5,6,-
Mar 4,1,-
