Year,Men,Women
Rio 2016,17.86,15.17
London 2012,17.81,14.98
Beijing 2008,17.67,15.39
Athens 2004,17.19,15.3
Sydney 2000,17.71,15.2
Atlanta 1996,18.09,15.33
Barcelona 1992,18.17,-
Seoul 1988,17.61,-
Los Angeles 1984,17.26,-
Moscow 1980,17.35,-
Montreal 1976,17.29,-
Munich 1972,17.35,-
Mexico City 1968,17.39,-
Tokyo 1964,16.85,-
Rome 1960,16.81,-
Melbourne 1956,16.35,-
Helsinki 1952,16.22,-
London 1948,15.4,-
Berlin 1936,16.0,-
Los Angeles 1932,15.72,-
Amsterdam 1928,15.21,-
Paris 1924,15.53,-
Antwerp 2020,14.51,-
Stockholm 1912,14.76,-
London 1908,14.92,-
St. Louis 1904,14.35,-
Paris 1900,14.47,-
Athens 1896,13.71,-
