Year,Male,Female
2029-30*,392.0,615.0
2028-29*,392.0,614.0
2027-28*,391.0,613.0
2026-27*,390.0,612.0
2025-26*,389.0,610.0
2024-25*,387.0,608.0
2023-24*,386.0,606.0
2022-23*,385.0,604.0
2021-22*,384.0,602.0
2020-21*,383.0,600.0
2019-20*,382.0,599.0
2018-19*,381.0,596.0
2017-18,398.6,612.89
2016-17,394.15,611.54
2015-16,392.08,616.14
2014-15,396.78,617.56
2013-14,391.47,613.68
2012-13,389.2,618.23
2011-12,393.48,628.24
2010-11,361.41,582.1
2009-10,322.75,526.11
2008-09,298.07,489.18
2007-08,282.7,467.47
2006-07,275.03,452.58
2005-06,270.14,443.18
2004-05,267.54,429.12
2003-04,260.03,405.27
2002-03,253.45,380.57
2001-02,238.11,357.02
2000-01,231.65,347.22
1999-00,224.72,340.21
1998-99,220.51,344.48
1997-98,217.61,340.94
1996-97,223.95,347.28
1995-96,219.51,335.7
1994-95,218.35,321.34
1993-94,215.26,315.37
1992-93,211.96,302.79
1991-92,207.48,296.75
1990-91,198.63,283.09
1989-90,191.2,263.91
1988-89,186.32,250.45
1987-88,190.05,245.04
1986-87,190.84,245.47
1985-86,196.17,249.88
1984-85,202.93,251.78
1983-84,202.7,249.54
1982-83,203.99,245.63
1981-82,196.94,237.58
1980-81,188.64,227.74
1979-80,183.74,217.17
1978-79,192.09,210.61
1977-78,204.72,207.53
1976-77,210.84,195.54
1975-76,210.0,181.46
1974-75,191.02,169.15
1973-74,188.59,155.33
1972-73,175.41,140.76
1971-72,166.23,125.79
1970-71,144.14,108.17
