Response,Dec 2014,Dec 2016,Dec 2017,Dec 2018,Dec 2019
Facebook,76%,84%,83%,88%,87%
YouTube,66%,80%,83%,86%,86%
Bol.com,49%,58%,61%,79%,81%
WhatsApp Messenger,50%,65%,0%,75%,79%
Instagram,20%,36%,38%,50%,57%
AD (Algemeen Daglad),33%,40%,41%,50%,55%
Facebook Messenger,40%,57%,0%,62%,53%
NOS,36%,50%,47%,50%,52%
NU.nl,46%,51%,49%,54%,51%
Twitter,34%,38%,34%,48%,50%
Telegraaf,33%,37%,35%,46%,44%
LinkedIn,29%,35%,37%,44%,41%
Pinterest,16%,32%,32%,41%,40%
Netflix,10%,24%,29%,36%,38%
AliExpress,8%,21%,29%,35%,38%
NPO Start,-,-,26%,-,33%
ZIggo GO/TV,-,-,23%,-,30%
Coolblue,-,-,13%,-,29%
Amazon,-,-,16%,-,27%
Snapchat,5%,11%,15%,17%,18%
Disney+,-,-,0%,-,18%
KIJK.nl,-,-,6%,-,13%
Videoland,-,-,5%,-,11%
Marktplaats,48%,56%,-,58%,-
Spotify,16%,28%,-,41%,-
Mediamarkt,17%,26%,-,31%,-
