Year,Groningen,Friesland,Drenthe,Overijssel,Flevoland,Gelderland,Utrecht,North Holland,South Holland,Zeeland,North Brabant,Limburg
2019*,166,186,201,217,212,243,297,318,237,203,257,200
2018*,165,176,190,204,194,227,274,288,214,194,241,190
2017*,157,169,185,196,185,218,252,259,203,190,234,182
2016,154,164,180,192,180,214,241,240,197,186,226,178
2015,154,163,181,191,179,214,240,232,194,185,226,175
2014,159,169,186,195,183,220,248,235,199,188,233,180
2013,168,180,198,207,191,235,264,248,210,194,246,189
2012,174,190,207,213,197,245,274,258,217,198,257,196
2011,178,195,211,218,201,252,279,262,221,198,264,200
2010,180,197,215,222,203,260,286,269,226,200,271,206
2009,179,197,214,220,203,259,283,267,225,199,270,206
2008,174,191,206,214,199,251,269,251,217,194,261,202
2007,158,177,193,201,191,236,249,230,203,181,245,194
2006,141,159,177,186,180,220,232,221,187,159,226,179
2005,141,158,176,185,180,220,231,220,186,158,226,179
2004,90,102,118,122,117,147,161,146,122,103,149,133
2003,89,102,118,121,116,146,161,145,121,102,148,133
2002,88,100,117,120,115,146,160,145,121,102,147,132
2001,87,100,116,119,113,145,161,144,120,101,145,131
2000,59,60,75,73,78,87,99,80,77,72,86,83
1999,58,59,74,73,77,86,99,80,77,72,86,83
1998,58,58,74,72,76,86,99,79,76,71,86,82
1997,57,57,73,72,75,86,98,79,76,71,86,82
