Response,Men,Women,Same,Don't know / refused
United States,39%,23%,24%,15%
Britain,39%,16%,36%,9%
France,75%,14%,9%,2%
Germany,49%,15%,27%,9%
Spain,45%,16%,33%,5%
Poland,55%,15%,25%,6%
Russia,29%,14%,52%,5%
Turkey,33%,27%,38%,2%
Egypt,32%,16%,46%,7%
Jordan,28%,23%,47%,2%
Lebanon,18%,34%,47%,1%
China,22%,24%,49%,6%
India,40%,33%,26%,2%
Indonesia,29%,15%,55%,1%
Japan,29%,47%,20%,5%
Pakistan,37%,16%,42%,6%
South Korea,26%,49%,23%,3%
Argentina,27%,21%,46%,6%
Brazil,42%,30%,27%,1%
Mexico,27%,14%,56%,3%
Kenya,36%,28%,34%,2%
Nigeria,46%,25%,26%,3%
