region of Italy,Symptoms,News,Cases,Vaccination,Quarantine
Basilicata,49%,24%,19%,4%,4%
Molise,41%,32%,18%,6%,3%
Marche,48%,29%,18%,4%,1%
Umbria,45%,30%,17%,5%,3%
Tuscany,45%,30%,17%,7%,1%
Apulia,51%,25%,17%,6%,1%
Liguria,47%,29%,16%,6%,2%
Calabria,48%,29%,16%,7%,1%
Abruzzo,46%,30%,16%,7%,1%
Lazio,51%,26%,16%,6%,1%
Veneto,53%,25%,16%,5%,1%
Emilia Romagna,50%,28%,16%,5%,1%
Piedmont,55%,24%,16%,4%,1%
Lombardy,53%,25%,15%,5%,2%
Friuli Venezia Giulia,53%,27%,15%,5%,1%
Campania,50%,29%,15%,5%,1%
Aosta Valley,52%,28%,15%,4%,1%
Sicily,52%,28%,14%,5%,1%
Sardinia,55%,23%,13%,7%,2%
Trentino South-Tyrol,49%,33%,12%,4%,2%
