Latest available time period in brackets,Male,Female
Turkey (2006),116,377
Mexico (2009),113,373
Australia (2006),172,311
Poland (2003-04),157,296
Slovenia (2000-01),166,286
Germany (2001-02),164,269
Denmark (2001),186,243
Ireland (2005),129,296
Portugal (1999),96,328
Italy (2008),104,315
Canada (2010),160,254
Spain (2009-10),154,258
Estonia (2009-2010),160,249
New Zealand (2009-10),141,264
Austria (2008-09),135,269
India (1999),52,352
United Kingdom (2005),141,258
Belgium (2005),151,245
Hungary (1999-2000),127,268
United States (2014),149,242
Finland (2009-10),159,232
Netherlands (2005-06),133,254
France (2009),143,233
Norway (2010),162,211
Japan (2011),62,299
Sweden (2010),154,207
South Africa (2010),103,250
China (2008),91,234
Korea (2009),45,27
