Response,2013,2014,2015,2016
Expiration date,82%,66%,51%,71%
Nutrition facts panel,67%,65%,49%,49%
Serving size and amount per container,55%,44%,36%,41%
Brand name,53%,35%,27%,45%
Ingredients list,52%,52%,40%,47%
Cooking instructions/Preparation time,45%,32%,25%,37%
Calorie and other nutrition information,45%,42%,29%,39%
Statements about nutrition benefits,43%,30%,23%,26%
Statements about health benefits,29%,18%,15%,15%
Statements about the absence of certain food ingredients,23%,20%,13%,17%
Country of origin labeling,29%,26%,15%,19%
