half a year,Five euro banknote,Ten euro,Twenty euro,Fifty euro,Hundred euro,Two hunderd euro,Five hundred euro
H2 2019,2.4%,13.5%,34.2%,36.5%,9.6%,1.4%,2.4%
H1 2019,1.6%,3%,27.9%,54.2%,10.4%,1.4%,1.5%
H2 2018,1.6%,2.6%,22.7%,61.8%,9%,0.9%,1.4%
H1 2018,1.2%,1.9%,23.8%,59.3%,10.9%,0.8%,2.1%
H2 2017,1%,1.8%,35.2%,52.5%,6.5%,0.8%,2.2%
H1 2017,1%,2.4%,36.9%,47.6%,9%,1.6%,1.5%
H2 2016,0.8%,3.7%,37.8%,42.5%,9.7%,0.6%,4.9%
H1 2016,1.1%,4.8%,31.6%,48.2%,11.1%,2%,1.2%
H2 2015,1.1%,3%,46.2%,37.1%,10.1%,1.2%,1.3%
H1 2015,1.5%,2.4%,54.7%,31.3%,8.5%,1.1%,0.5%
