Brand,2012,2013
Avon,33%,43%
Oriflame,0%,25%
Arko,18%,17%
Nivea,23%,10%
L'Oreal,16%,9%
Dove,9%,8%
Olay,7%,8%
Max Factor,0%,7%
Ipek,2%,6%
Maybelline,8%,6%
Sebamed,1%,6%
Hobby,7%,5%
Lancôme,5%,3%
Egos,3%,2%
Dalin,4%,2%
Hobi,2%,2%
Fonex,3%,1%
Neva,2%,1%
Clarins,0%,1%
Clinique,1%,1%
Garnier,0%,1%
Fume,1%,1%
Imaj,1%,1%
Innova,1%,1%
Lux,1%,1%
Neutrogena,0%,1%
Voila,2%,1%
Akat,4%,1%
Amway,0%,1%
Chanel,5%,1%
Covergirl,0%,1%
Lapitak,0%,1%
Cireaseptine,1%,0%
Estée Lauder,2%,0%
Gardi,1%,0%
Johnson & Johnson,5%,0%
Popolin,1%,0%
