Quarter,Jobs gained,Jobs lost
Q1 09,740000,831000
Q4 08,697000,891000
Q3 08,808000,958000
Q2 08,829000,882000
Q1 08,875000,936000
Q4 07,889000,803000
Q3 07,909000,841000
Q2 07,942000,845000
Q1 07,882000,851000
Q4 06,890000,763000
Q3 06,969000,815000
Q2 06,926000,837000
Q1 06,975000,843000
Q4 05,921000,739000
Q3 05,980000,852000
Q2 05,995000,886000
Q1 05,952000,839000
Q4 04,943000,850000
Q3 04,1001000,900000
Q2 04,1017000,955000
Q1 04,982000,909000
Q4 03,998000,914000
Q3 03,1010000,921000
Q2 03,959000,884000
Q1 03,965000,956000
Q4 02,997000,1007000
Q3 02,1026000,1028000
Q2 02,1055000,1026000
Q1 02,1192000,1086000
