Month,Android,BlackBerry,iOS,Windows,Other
Sep '19,65.7%,0%,34%,0.3%,0%
Jun '19,66.7%,0.1%,32.5%,0.6%,0%
Mar '19,65.7%,0%,34%,0.3%,0%
Dec '18,58.9%,0%,40.8%,0.3%,0%
Sep '18,65.4%,0%,34.2%,0.4%,0%
Jun '18,64.5%,0%,34.9%,0.6%,0%
Mar '18,62.7%,0.3%,37%,0%,0%
Dec '17,55.3%,0.2%,44.2%,0.2%,0.1%
Sep '17,64.4%,0.1%,34.3%,1%,0.1%
Jun '17,62.5%,0.1%,36.2%,1.2%,0.1%
Mar '17,57.2%,0.4%,40.4%,1.9%,0.1%
Dec '16,50.6%,0%,47.6%,1.7%,0.1%
Sep '16,55.7%,0.1%,40.6%,3.6%,0%
Jun '16,57.3%,0.6%,37.2%,4.9%,0%
Mar '16,58.8%,0.1%,34.8%,6.2%,0.1%
Dec '15,51.9%,0.3%,38.6%,9.2%,0.1%
Sep '15,51.4%,0.5%,38.3%,9.8%,0.1%
Jun '15,53.2%,1.2%,34.1%,11.3%,0.2%
Mar '15,52.9%,0.7%,38.1%,8%,0.3%
Dec '14,50.1%,0.8%,41.7%,7.4%,0.1%
Sep '14,58.3%,0.8%,30.3%,10%,0.6%
Jun '14,60.6%,1.1%,28.5%,9.6%,0.2%
Mar '14,56.2%,2.3%,32.1%,9.1%,0.2%
Dec '13,54.9%,3.2%,29.9%,11.3%,0.6%
Sep '13,58.4%,3.1%,27%,11.4%,0.2%
Jun '13,55.2%,3.5%,31.1%,9.2%,0.9%
Mar '13,58.4%,5.1%,28.7%,7%,0.9%
