Name (Company),2012,2013
Amancio Ortega (Inditex),37.5,57.0
The Brenninkmeijer family (C&A),29.08,34.56
Bernard Arnault (LVMH),41.0,29.0
Stefan Persson (Hennes & Mauritz),26.0,28.0
Betrand Puech & family (Hermes International),15.63,22.59
Leonardo Del Vecchio (Luxottica),11.5,15.3
Francis Pinault & family (PPR),13.0,15.0
Phil Knight (Nike),14.4,14.4
Michael Otto & family (Otto Group),17.6,14.2
"Tadashi Yanai & family (Fast Retailing, Uniqlo)",10.0,13.3
Miuccia Prada (Prada),6.8,12.4
The Reimann family (Labelux Group),10.32,10.32
Giorgio Armani (Armani),7.2,8.5
Leonard Lauder (Estee Lauder),7.1,8.1
Galen Weston & family (Selfridges Group),7.6,8.0
Alain & Gerard Wertheimer (Chanel),7.5,8.0
Isidoro Alvarez (El Corte Ingles),7.87,7.87
Ralph Lauren (Ralph Lauren),7.5,7.0
Patrizio Bertelli (Prada),3.7,6.7
Johann Rupert & family (Compagnie Financiere Richemont),5.1,6.6
