computer occupations,Women,Black or African American,Asian,Hispanic or Latino
Computer and mathematical occupations  [ALL],25.8%,8.7%,23.1%,7.8%
Computer systems analysts,40.1%,9.7%,20.3%,8.3%
Operations research analysts,42.7%,16.6%,7.6%,12.9%
Information security analysts,17.1%,8.5%,21.8%,8.7%
Computer programmers,20.3%,5.8%,37.7%,5.1%
"Software developers, applications and systems software",18.7%,6.7%,12%,4.6%
Web developers,41.4%,10.5%,12.7%,11.3%
Computer support specialists,26.4%,6.8%,16.7%,6.2%
Database administrators,30.2%,9.7%,11.7%,8.5%
Network and computer systems administrators,26.1%,13.1%,10.3%,14.1%
Computer network architects,9.2%,12.7%,14.1%,9.7%
"Computer occupations, all other",23.6%,23.6%,12.7%,14.1%
