Month and year,Imports,Exports
May20,508.37,292.29
Apr20,806.89,361.77
Mar20,842.66,398.99
Feb20,667.31,312.52
Jan20,690.38,313.74
Dec19,667.18,481.75
Nov19,937.04,408.93
Oct19,991.34,439.33
Sep19,685.18,480.86
Aug19,723.67,537.23
Jul19,816.12,488.1
Jun19,728.97,472.78
May19,938.0,554.13
Apr19,931.49,545.78
Mar19,672.73,500.44
Feb19,652.38,477.42
Jan19,775.55,392.06
Dec18,601.04,445.65
Nov18,745.67,477.94
Oct18,678.49,627.67
Sep18,706.48,473.57
Aug18,676.68,451.53
Jul18,865.99,515.94
Jun18,789.26,466.92
May18,768.03,580.55
Apr18,820.17,474.75
Mar18,700.87,543.68
Feb18,753.71,406.16
Jan18,783.66,468.51
Dec17,673.44,465.41
Nov17,661.05,506.98
Oct17,643.07,441.61
Sep17,751.33,507.13
Aug17,589.24,550.15
Jul17,524.8,477.12
Jun17,640.33,538.91
May17,673.42,497.42
Apr17,598.03,453.55
Mar17,580.11,512.54
Feb17,718.2,546.84
Jan17,614.62,607.47
