Month,2012,2013,2014,2015,2016,2017*,2018*,2019**,2020**
Dec,1.93,1.94,2.07,2.13,2.44,3.02,2.76,3.18,-
Nov,1.78,1.7,1.85,1.91,2.11,2.55,2.3,2.78,-
Oct,1.54,1.4,1.64,1.62,1.81,2.18,2.0,2.4,-
Sep,1.22,1.22,1.49,1.57,1.74,2.15,2.1,2.36,-
Aug,1.31,1.33,1.71,1.75,1.88,2.15,2.37,2.5,-
July,1.51,1.44,1.71,1.88,2.13,2.3,2.47,2.65,-
Jun,1.16,1.23,1.47,1.5,1.59,2.01,2.12,2.32,-
May,1.02,1.21,1.34,1.49,1.53,1.9,1.89,1.98,-
Apr,1.31,1.33,1.52,1.61,1.73,2.21,2.38,2.47,-
Mar,1.56,1.76,1.72,1.78,1.94,2.22,2.65,2.33,0.79
Feb,1.73,1.91,1.85,1.88,2.0,2.29,2.76,2.52,2.54
Jan,1.68,1.98,1.88,1.95,2.03,2.32,2.79,2.56,2.83
