Country,2020 to date,July*,June*,May*,April*,March*,February*,January*
Russia,102423,881,572,245,113,12101,26744,61767
Germany,70241,8856,1572,260,184,13299,28185,17885
United Kingdom,45940,1660,553,136,96,6075,19638,17782
Sweden,42030,3275,1376,460,134,6080,15132,15573
China,41535,349,186,103,102,1156,7371,32268
France,38079,976,445,113,47,6396,16764,13338
Estonia,33439,7507,3606,1268,947,3580,9012,7519
Netherlands,31706,2162,525,80,74,4884,13226,10755
United States,31188,3632,1887,588,326,4831,10738,9186
Norway,26897,13032,2123,103,48,2184,5075,4332
Japan,24170,361,127,78,57,3718,10952,8877
Switzerland,15908,2930,290,58,21,2149,5842,4618
Italy,14602,948,240,66,62,1510,5539,6237
Spain,12396,617,289,84,30,2099,4921,4356
