Country/International Olympic Committee,Gold,Silver,Bronze
Finland,18.23,15.34,21.12
Hungary,18.12,15.22,17.49
Sweden,14.36,16.83,17.72
Bahamas,15.27,5.09,15.27
Denmark,7.77,12.78,12.95
Bulgaria,7.34,12.52,11.51
Norway,10.33,9.04,8.67
Jamaica,7.43,11.82,7.09
Estonia,6.78,6.78,12.06
East Germany*,9.5,8.01,7.88
New Zealand****,9.75,5.6,9.54
Switzerland,5.78,8.67,7.74
Cuba,6.89,6.0,7.06
Australia****,5.88,6.55,7.45
Grenada,8.85,8.85,0.0
Netherlands,4.96,5.37,6.3
Romania,4.63,4.94,6.34
Trinidad and Tobago,2.14,3.57,7.86
Belgium,3.45,4.57,4.75
Great Britain,3.87,4.35,4.32
Greece,3.17,4.13,3.84
Slovenia,2.41,3.85,4.81
France,3.25,3.69,4.03
Latvia,1.59,5.83,2.65
Austria,2.0,3.66,4.0
Italy,3.41,2.94,3.19
Lithuania,2.2,2.2,4.78
Czechoslovakia*,3.14,3.14,2.88
Germany**,2.61,2.96,3.17
Belarus,1.27,2.86,4.13
Croatia,2.68,2.44,2.92
Georgia,2.01,1.75,4.26
Canada,1.7,2.7,3.6
Mongolia,0.61,3.05,4.27
United States,3.09,2.4,2.13
Poland,1.8,2.22,3.49
Ireland,1.82,2.03,2.43
Czechia,1.4,1.59,2.24
South Korea,1.76,1.7,1.76
Slovakia,1.65,2.2,1.28
Armenia,0.67,2.02,2.02
Azerbaijan,0.69,1.08,2.37
Yugoslavia*,1.21,1.33,1.33
Soviet Union*  **,1.51,1.23,1.12
Japan,1.12,1.08,1.27
Suriname,1.7,0.0,1.7
Kazakhstan,0.8,1.12,1.44
West Germany*,0.89,1.06,1.28
Spain,0.96,1.37,0.88
Luxembourg,1.6,1.6,0.0
Puerto Rico,0.35,0.7,2.1
Russia,1.01,0.86,1.05
Uruguay,0.58,0.58,1.73
Ukraine,0.78,0.69,1.28
Portugal,0.39,0.78,1.18
North Korea,0.62,0.62,0.85
Kenya,0.58,0.71,0.63
Bahrain,1.18,0.59,0.0
Serbia,0.34,0.69,0.69
Argentina,0.46,0.55,0.62
South Africa,0.44,0.52,0.49
Fiji,1.12,0.0,0.0
Tunisia,0.34,0.17,0.59
Turkey,0.46,0.28,0.33
Israel,0.12,0.12,0.81
Chinese Taipei (Taiwan),0.21,0.29,0.5
Uzbekistan,0.21,0.18,0.54
Singapore,0.17,0.34,0.34
Iran,0.25,0.25,0.32
Costa Rica,0.2,0.2,0.39
Panama,0.23,0.0,0.46
Chile,0.1,0.37,0.21
Dominican Republic,0.28,0.18,0.18
Morocco,0.16,0.14,0.33
Brazil,0.14,0.17,0.3
Kosovo,0.55,0.0,0.0
Colombia,0.1,0.18,0.28
Zimbabwe,0.2,0.27,0.07
Mexico,0.1,0.19,0.25
Venezuela,0.07,0.14,0.32
Thailand,0.13,0.11,0.23
Ethiopia,0.19,0.1,0.18
Tajikistan,0.1,0.1,0.21
Hong Kong,0.13,0.13,0.13
Algeria,0.11,0.09,0.18
China,0.16,0.12,0.11
Egypt,0.07,0.1,0.15
Cameroon,0.11,0.04,0.08
United Arab Emirates,0.1,0.0,0.1
Syria,0.06,0.06,0.06
Burundi,0.08,0.08,0.0
Uganda,0.04,0.07,0.04
Peru,0.03,0.09,0.0
Nigeria,0.01,0.05,0.06
Indonesia,0.03,0.05,0.04
Ivory Coast,0.04,0.04,0.04
Ecuador,0.06,0.06,0.0
Jordan,0.1,0.0,0.0
Mozambique,0.03,0.0,0.03
Pakistan,0.01,0.01,0.02
Vietnam,0.01,0.03,0.0
India,0.01,0.01,0.01
