State,Large certificated air carriers,Commuter and small certificated air carriers,Foreign air carriers
Alabama,2460044,107926,32
Alaska,3631875,1358478,37408
Arizona,23891299,159803,538529
Arkansas,1831399,101687,4
California,102006934,148068,15988774
Colorado,31660301,1071804,637180
Connecticut,3160274,82528,72983
Delaware,549,140,17
Florida,81617311,654655,8939113
Georgia,52545711,103896,1071259
Hawaii,15338965,443525,1615316
Idaho,2322605,23733,145
Illinois,46281841,1875718,3756875
Indiana,5453308,139990,31428
Iowa,1986178,94893,8
Kansas,900798,44946,13
Kentucky,6604109,180706,57924
Louisiana,7689538,1322,94263
Maine,1198012,200010,212
Maryland,13072579,122901,231376
Massachusetts,17199540,248910,2866115
Michigan,19769459,253102,310173
Minnesota,18555575,48080,187664
Mississippi,901924,37112,5
Missouri,13726940,321841,78548
Montana,2066767,123378,266
Nebraska,2606165,96970,6326
Nevada,23887066,117157,1832855
New Hampshire,891498,73897,73
New Jersey,20425047,665930,2699491
New Mexico,2790298,67110,773
New York,41775615,883957,11930923
North Carolina,30283671,791430,142593
North Dakota,955871,138184,5
Ohio,9823661,367167,111706
Oklahoma,3611084,30218,1
Oregon,11072986,12630,226115
Pennsylvania,19188544,1986503,489578
Rhode Island,1944404,107770,99612
South Carolina,4900481,320674,4527
South Dakota,743497,159315,4
Tennessee,11417807,258146,137866
Texas,83343605,115893,2739221
Utah,12463196,5706,49587
Vermont,578273,85333,526
Virginia,23467328,1892409,2510060
Washington,25574549,59531,1325712
West Virginia,304040,72149,16
Wisconsin,5073933,340831,26751
Wyoming,533367,68128,52
