Year,Male,Female
2018,66.9%,71.4%
2017,61.1%,71.7%
2016,67.5%,71.9%
2015,65.8%,72.5%
2014,64%,72.6%
2013,63.5%,68.4%
2012,61.3%,71.3%
2011,64.7%,72.2%
2010,62.8%,74%
2009,66%,73.8%
2008,65.9%,71.6%
2007,66.1%,68.3%
2006,65.8%,66.1%
2005,66.5%,70.4%
2004,61.4%,71.5%
2003,61.2%,66.5%
2002,62.1%,68.4%
2001,60.1%,63.5%
2000,59.9%,66.2%
1999,61.4%,64.4%
1998,62.4%,69.1%
1997,63.6%,70.3%
1996,60.1%,69.7%
1995,62.6%,61.3%
1994,60.6%,63.2%
1993,59.9%,65.2%
1992,60%,63.8%
1991,57.9%,67.1%
1990,58%,62.2%
1989,57.6%,61.6%
1988,57.1%,60.7%
1987,58.3%,55.3%
1986,55.8%,51.9%
1985,58.6%,56.8%
1984,56%,54.5%
1983,51.9%,53.4%
1982,49.1%,52%
1981,54.8%,53.1%
1980,46.7%,51.8%
