Response,Small household appliances,Consumer electronics,Large household appliances
May 200,32.7%,23.1%,22.9%
Apr 2020,34.6%,25.5%,20.9%
Mar 2020,28.7%,20%,19.1%
Feb 2020,36.9%,26%,21.8%
Jan 2020,41.4%,27.5%,25.9%
Dec 2019,36.5%,23.2%,24.2%
Nov 2019,34.7%,23.2%,22.6%
Oct 2019,34.2%,21.9%,21.9%
Sep 2019,36.9%,23.8%,23.5%
Aug 2019,37.6%,24.2%,24.2%
Jul 2019,37.7%,24.8%,24.7%
Jun 2019,37.3%,24%,23.2%
May 2019,36.2%,23.9%,22.5%
Apr 2019,36.9%,24.3%,22.2%
Mar 2019,35.6%,24.6%,22.5%
Feb 2019,36.6%,25.2%,22.8%
Jan 2019,36.2%,25.5%,23.8%
